EVEP,EV Energy Partners,NASDAQ
30.59,31.15,31.22,30.48
31.11,32.02,32.21,30.60
32.00,31.87,32.37,31.70
31.87,31.76,31.97,31.58
31.82,32.17,32.25,31.61
32.23,31.97,32.45,31.96
31.95,30.35,32.25,29.75
30.69,29.92,30.69,28.90
30.00,30.53,30.89,29.92
30.45,30.41,30.59,30.00
30.70,31.25,31.49,30.50
31.60,32.33,32.33,31.00
32.35,31.59,32.75,30.69
31.60,30.95,32.00,30.77
30.75,30.85,31.20,30.51
31.02,31.58,31.66,30.72
31.84,31.10,31.94,30.10
31.30,31.65,31.76,30.83
31.86,31.56,32.25,31.32
31.65,31.80,32.40,31.60
32.38,32.58,32.60,31.96
31.78,31.50,32.14,31.16
31.99,30.00,31.99,29.90
29.75,29.06,29.76,27.24
29.57,29.54,29.82,28.96
28.08,28.60,29.02,28.00
28.70,28.97,28.98,28.56
29.00,29.30,29.34,28.65
29.25,29.51,29.51,28.70
29.80,29.52,30.00,29.35
29.65,30.14,30.22,29.53
30.38,29.79,30.42,29.68
29.95,30.10,30.15,29.61
30.28,30.39,30.50,30.25
30.25,30.02,30.29,30.00
30.00,30.35,30.45,30.00
30.16,30.58,30.59,30.00
30.60,30.89,30.89,30.42
30.89,30.88,30.90,30.56
31.00,30.95,31.20,30.74
30.95,30.95,31.06,30.63
31.18,30.82,31.18,30.50
31.00,31.23,31.33,30.82
31.60,31.95,31.95,31.40
32.00,32.00,32.09,31.70
32.00,32.60,32.72,31.91
32.49,32.81,32.93,32.45
32.80,32.50,32.80,32.27
32.50,32.29,32.51,31.68
32.29,32.69,32.79,31.82
31.29,31.94,32.41,30.70
32.14,31.98,32.14,31.22
31.98,31.30,31.98,30.46
30.89,31.22,31.24,29.80
31.01,31.51,31.54,30.76
31.16,31.52,31.68,31.11
31.66,31.23,31.69,31.15
31.15,30.91,31.37,30.80
31.23,31.39,31.49,31.00
31.45,31.90,31.97,31.36
31.90,31.92,32.16,31.67
N/A,N/A,N/A,N/A
32.24,32.76,32.84,32.18
32.83,33.42,33.45,32.61
33.44,33.00,33.44,32.76
32.92,33.13,33.24,32.12
33.00,32.82,33.15,32.70
32.70,32.53,32.75,32.26
32.21,32.20,32.50,32.00
32.20,32.71,32.87,32.20
32.87,32.86,32.99,32.56
32.86,32.51,32.96,32.26
32.25,32.37,32.80,32.14
32.27,32.67,33.24,32.27
32.91,32.67,32.91,32.50
32.60,32.85,33.14,32.40
32.90,33.28,33.65,32.58
33.40,33.63,34.01,33.21
33.50,33.05,33.78,32.93
33.10,33.58,33.87,33.08
33.70,34.18,34.24,33.40
34.17,34.61,34.77,34.01
34.70,34.92,34.95,34.31
34.81,33.96,34.90,33.65
32.50,31.90,32.51,29.14
31.70,29.29,31.75,21.24
29.64,30.36,30.73,28.64
32.00,30.92,32.40,30.76
29.76,30.03,30.75,29.60
30.05,31.15,32.05,30.05
31.57,31.38,32.22,31.09
31.63,30.93,31.64,30.07
31.25,30.02,31.25,29.55
30.42,29.80,30.99,29.61
29.50,29.50,29.64,27.47
27.98,27.16,28.48,27.01
26.76,27.36,28.29,25.52
27.36,27.10,28.08,27.10
27.53,26.54,27.53,25.60
27.00,28.08,28.85,26.84
28.81,29.09,29.16,28.29
29.24,29.27,29.72,28.88
29.00,28.09,29.26,28.09
28.19,29.19,29.19,28.01
29.29,30.55,30.58,29.25
30.54,29.98,30.86,29.67
30.39,28.85,30.39,28.72
29.38,29.11,29.38,28.36
29.17,29.56,29.80,29.00
29.97,30.48,30.48,29.89
30.40,30.77,30.85,30.13
30.95,30.28,31.50,30.28
30.71,30.95,31.15,30.20
30.88,31.56,31.70,30.75
31.60,31.61,31.90,31.25
31.75,32.33,32.74,31.70
33.00,32.68,33.84,32.30
32.93,32.64,33.26,32.35
31.60,32.26,32.52,31.59
32.00,32.16,32.45,31.72
32.19,32.83,32.83,31.83
32.85,32.42,32.85,32.33
32.00,31.33,32.33,31.25
31.50,31.20,32.03,31.20
31.20,31.08,31.30,30.01
31.17,31.47,31.54,30.76
31.87,31.70,32.59,31.36
32.03,31.99,32.19,31.20
32.59,33.22,33.60,32.59
33.50,34.00,34.10,33.38
34.00,34.22,34.48,33.80
34.75,34.77,35.00,34.38
35.00,34.74,35.26,34.70
34.77,34.78,34.82,34.30
34.90,34.28,34.90,33.83
34.48,34.72,34.75,34.06
34.67,35.66,35.77,34.52
35.72,35.65,35.97,35.30
36.24,35.91,36.38,35.76
36.14,36.48,36.48,35.84
36.48,37.02,37.40,36.25
37.23,36.37,37.39,35.94
36.35,36.48,36.52,36.04
36.52,36.79,36.90,36.23
36.68,37.17,37.39,36.52
37.43,37.50,37.64,37.35
37.75,37.61,37.90,37.26
36.54,37.10,37.43,36.44
37.10,36.64,37.40,36.30
36.24,36.73,36.73,35.86
36.48,36.31,36.53,35.79
35.80,35.44,36.20,34.80
33.75,33.78,34.13,33.65
33.51,34.15,34.15,33.35
34.00,34.09,34.15,33.80
34.20,33.99,34.20,33.91
34.07,34.15,34.19,34.00
33.47,33.59,33.96,33.20
33.36,33.23,33.77,33.10
33.05,32.50,33.19,32.06
32.38,32.66,32.94,32.06
32.04,32.60,32.80,31.68
32.60,32.67,32.67,31.83
32.74,32.89,33.05,32.53
33.14,33.26,33.50,32.65
33.23,33.22,33.45,33.00
33.26,33.62,33.96,33.22
34.00,34.20,34.20,33.72
34.20,34.34,34.38,33.88
34.46,34.29,34.64,34.05
34.26,34.20,34.43,34.00
34.20,34.17,34.35,34.05
