LBTYB,Liberty Global plc - Class B Ordinary Shares,NASDAQ
21.89,21.89,21.89,21.89
21.89,21.89,21.89,21.89
23.00,23.03,23.29,23.00
23.23,23.29,23.29,23.23
23.29,23.29,23.29,23.29
23.42,24.35,24.35,23.42
23.14,23.08,23.37,23.08
22.61,23.31,23.31,22.61
22.64,23.00,23.14,22.64
23.02,22.89,23.02,22.72
22.24,23.73,23.75,22.24
22.87,24.10,24.10,22.87
24.07,24.07,24.07,24.07
23.56,23.60,23.63,23.52
23.90,25.78,25.78,23.90
25.34,25.34,25.34,25.34
25.49,25.37,25.49,25.22
25.45,25.04,25.45,25.04
25.71,25.45,25.71,25.45
25.84,25.84,25.84,25.84
25.84,25.84,25.84,25.84
25.84,25.84,25.84,25.84
25.41,25.25,25.46,25.25
24.21,24.11,24.21,24.11
24.25,24.14,24.29,23.83
24.45,24.61,24.61,24.45
24.15,24.15,24.15,24.15
24.30,24.30,24.30,24.30
24.75,24.28,24.75,24.28
24.75,24.75,24.75,24.75
24.75,24.75,24.75,24.75
24.75,24.75,24.75,24.75
25.15,25.15,25.15,25.15
25.63,26.68,26.68,25.63
26.45,26.06,26.45,26.05
26.26,26.23,26.26,26.20
25.42,26.01,26.01,25.42
26.10,27.05,27.05,26.10
27.05,27.05,27.05,27.05
27.53,27.86,27.86,27.53
27.86,27.86,27.86,27.86
27.57,27.57,27.57,27.57
28.01,28.07,28.07,28.01
28.31,28.22,28.31,28.22
28.22,28.22,28.22,28.22
28.35,28.35,28.35,28.35
28.35,28.35,28.35,28.35
28.35,28.35,28.35,28.35
28.35,28.35,28.35,28.35
28.35,28.19,28.35,28.18
27.86,28.60,28.60,27.86
28.85,28.85,28.85,28.85
27.80,27.80,28.47,27.80
27.80,27.80,27.80,27.80
28.55,28.89,28.89,28.55
28.93,28.93,28.93,28.93
28.71,28.57,28.71,28.57
28.55,28.53,28.55,28.53
28.53,28.53,28.53,28.53
29.32,29.25,29.32,29.25
29.01,29.14,29.46,28.96
29.60,29.60,29.60,29.60
29.60,29.60,29.60,29.60
29.60,29.60,29.60,29.60
29.44,29.45,29.45,29.44
29.45,29.45,29.45,29.45
29.21,29.23,29.23,29.21
28.88,29.64,29.64,28.88
29.46,29.46,29.46,29.46
29.46,29.46,29.46,29.46
29.46,29.46,29.46,29.46
29.46,29.46,29.46,29.46
29.46,29.46,29.46,29.46
29.11,29.09,29.11,29.09
29.09,29.09,29.09,29.09
29.05,29.31,29.31,29.05
29.31,29.31,29.31,29.31
29.31,29.31,29.31,29.31
27.60,27.08,27.60,27.02
27.20,27.10,27.20,27.10
27.10,27.10,27.10,27.10
27.53,27.50,27.72,27.50
27.86,28.25,28.25,27.86
27.91,27.84,27.91,27.75
27.84,27.84,27.84,27.84
24.99,25.84,25.84,24.97
25.75,24.25,25.75,24.25
25.55,25.57,25.57,25.50
25.57,25.57,25.57,25.57
25.57,25.57,25.57,25.57
26.24,26.12,26.24,26.12
25.49,25.45,25.49,25.45
25.45,25.45,25.45,25.45
25.93,25.43,26.00,25.43
25.43,25.43,25.43,25.43
24.00,24.00,24.00,24.00
23.92,23.41,24.50,23.41
24.12,24.12,24.12,24.12
23.64,24.18,24.24,23.64
25.14,26.28,26.28,24.92
26.80,27.68,27.70,25.70
27.68,27.68,27.68,27.68
27.17,26.78,27.20,26.78
26.84,27.22,27.22,26.84
28.12,27.36,28.12,27.20
26.19,26.19,26.19,26.19
25.20,25.49,26.14,25.20
24.78,24.40,24.78,24.40
24.40,24.40,24.40,24.40
24.40,24.40,24.40,24.40
25.45,25.41,25.50,25.41
25.41,25.41,25.41,25.41
25.41,25.41,25.41,25.41
25.41,25.41,25.41,25.41
25.41,25.41,25.41,25.41
25.41,25.41,25.41,25.41
25.41,25.41,25.41,25.41
27.18,27.18,27.18,27.18
26.38,26.38,26.38,26.38
26.38,26.38,26.38,26.38
26.38,26.38,26.38,26.38
26.38,26.38,26.38,26.38
26.56,26.56,26.56,26.56
26.60,26.20,26.60,26.20
26.20,26.20,26.20,26.20
26.29,26.29,26.29,26.29
26.83,27.10,27.10,26.83
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.50,28.09,28.50,28.09
29.00,29.00,29.00,29.00
29.00,29.00,29.00,29.00
29.00,29.00,29.00,29.00
28.25,28.25,28.25,28.25
28.25,28.25,28.25,28.25
28.27,28.87,28.87,28.00
28.87,28.87,28.87,28.87
28.87,28.87,28.87,28.87
28.87,28.87,28.87,28.87
28.87,28.87,28.87,28.87
28.87,28.87,28.87,28.87
28.87,28.87,28.87,28.87
29.50,29.50,29.50,29.50
29.50,29.50,29.50,29.50
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
29.93,28.71,29.96,28.63
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
28.71,28.71,28.71,28.71
29.00,27.93,29.00,27.93
28.50,27.76,28.75,27.76
27.76,27.76,27.76,27.76
28.99,29.00,29.00,28.99
29.00,29.00,29.00,29.00
29.00,29.00,29.00,29.00
29.35,29.04,29.35,29.04
29.04,29.04,29.04,29.04
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.17,30.26,30.26,30.17
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.60,31.75,31.75,31.60
31.75,31.75,31.75,31.75
32.59,31.63,32.59,31.39
31.63,31.63,31.63,31.63
31.63,31.63,31.63,31.63
31.63,31.63,31.63,31.63
31.28,32.00,32.00,31.28
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,31.56,32.00,31.56
30.92,30.92,30.92,30.92
30.92,30.92,30.92,30.92
30.92,30.92,30.92,30.92
30.92,30.92,30.92,30.92
30.92,30.92,30.92,30.92
33.87,34.85,34.85,33.87
34.85,34.85,34.85,34.85
34.85,34.85,34.85,34.85
35.00,35.00,35.00,35.00
35.11,37.83,37.83,35.11
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
35.72,35.72,35.72,35.72
35.72,35.72,35.72,35.72
37.60,37.60,37.60,37.60
38.22,38.21,38.22,38.21
39.00,39.00,39.00,39.00
39.00,39.00,39.00,39.00
40.00,40.75,41.18,40.00
40.24,40.11,40.24,40.11
40.11,40.11,40.11,40.11
40.11,40.11,40.11,40.11
39.78,39.78,39.78,39.78
38.74,38.74,38.74,38.74
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
38.50,37.51,38.50,37.51
37.51,37.51,37.51,37.51
37.51,37.51,37.51,37.51
36.87,36.77,36.87,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.77,36.77,36.77,36.77
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
36.00,36.00,36.00,36.00
35.79,35.80,35.80,35.79
35.80,35.80,35.80,35.80
35.80,35.80,35.80,35.80
35.80,35.80,35.80,35.80
35.80,35.80,35.80,35.80
35.80,35.80,35.80,35.80
35.80,35.80,35.80,35.80
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
37.69,37.69,37.69,37.69
36.80,39.13,39.98,36.80
39.13,39.13,39.13,39.13
39.13,39.13,39.13,39.13
39.13,39.13,39.13,39.13
39.13,39.13,39.13,39.13
39.13,39.13,39.13,39.13
39.13,39.13,39.13,39.13
41.37,41.37,41.37,41.37
41.37,41.37,41.37,41.37
42.57,42.60,42.60,42.55
42.60,42.60,42.60,42.60
42.60,42.60,42.60,42.60
42.60,42.60,42.60,42.60
42.60,42.60,42.60,42.60
41.67,41.67,41.67,41.67
42.53,42.38,42.53,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
42.38,42.38,42.38,42.38
43.03,43.03,43.03,43.03
43.03,43.03,43.03,43.03
43.03,43.03,43.03,43.03
43.03,43.03,43.03,43.03
43.87,43.24,43.87,43.24
43.24,43.24,43.24,43.24
43.17,42.74,43.63,42.74
42.74,42.74,42.74,42.74
42.74,42.74,42.74,42.74
42.74,42.74,42.74,42.74
42.74,42.74,42.74,42.74
42.50,42.50,42.51,42.50
42.50,42.50,42.50,42.50
42.50,42.50,42.50,42.50
42.50,42.50,42.50,42.50
42.50,42.50,42.50,42.50
42.50,42.50,42.50,42.50
42.50,42.50,42.50,42.50
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
42.65,42.65,42.65,42.65
43.65,43.65,43.65,43.65
43.08,44.40,44.40,43.08
44.40,44.40,44.40,44.40
44.40,44.40,44.40,44.40
44.40,44.40,44.40,44.40
44.40,44.40,44.40,44.40
44.40,44.40,44.40,44.40
44.40,44.40,44.40,44.40
43.29,44.86,46.67,43.29
45.14,45.68,47.07,45.14
45.50,45.50,45.50,45.50
45.50,45.50,45.50,45.50
45.50,45.50,45.50,45.50
45.50,45.50,45.50,45.50
46.23,46.15,46.23,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
43.78,43.78,43.78,43.78
43.78,43.78,43.78,43.78
44.25,45.75,45.75,44.25
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
45.75,45.75,45.75,45.75
39.73,39.73,39.73,39.73
43.30,40.44,44.07,38.11
40.91,40.68,40.91,40.68
41.80,42.30,42.30,41.80
42.30,42.30,42.30,42.30
42.30,42.30,42.30,42.30
42.30,42.30,42.30,42.30
42.30,42.30,42.30,42.30
43.63,43.63,43.63,43.63
43.63,43.63,43.63,43.63
45.00,45.00,45.00,45.00
45.97,45.97,45.97,45.97
45.97,45.97,45.97,45.97
46.64,46.61,46.64,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
