SAJA,Sajan,NASDAQ
1.20,1.25,1.25,1.20
1.22,1.20,1.22,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.23,1.20
1.20,1.31,1.31,1.20
1.31,1.35,1.35,1.30
1.42,1.55,1.55,1.42
1.56,1.56,1.56,1.54
1.57,1.59,1.59,1.57
1.63,1.70,1.90,1.63
1.80,1.71,1.80,1.70
1.71,1.71,1.71,1.71
1.70,1.60,1.70,1.60
1.70,1.65,1.75,1.65
1.70,1.65,1.75,1.60
1.75,1.72,1.75,1.70
1.68,1.68,1.68,1.68
1.65,1.65,1.65,1.65
1.65,1.60,1.65,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.75,1.60,1.75,1.60
1.49,1.60,1.64,1.49
1.60,1.52,1.60,1.50
1.55,1.50,1.55,1.50
1.53,1.60,1.60,1.53
1.60,1.60,1.60,1.60
1.50,1.56,1.56,1.50
1.55,1.55,1.55,1.55
1.55,1.65,1.65,1.55
1.41,1.55,1.65,1.41
1.55,1.60,1.60,1.50
1.60,1.65,1.65,1.50
1.65,1.60,1.65,1.50
1.55,1.60,1.60,1.50
1.60,1.60,1.60,1.60
1.62,1.60,1.62,1.60
1.60,1.62,1.65,1.60
1.65,1.62,1.65,1.51
1.62,1.65,1.65,1.62
1.50,1.55,1.65,1.50
1.68,1.70,1.70,1.68
1.70,1.70,1.70,1.67
1.70,1.67,1.70,1.67
1.70,1.67,1.74,1.67
1.70,1.68,1.70,1.68
1.70,1.72,1.72,1.70
1.72,1.70,1.72,1.70
1.72,1.74,1.74,1.72
1.73,1.73,1.73,1.73
1.70,1.70,1.75,1.70
1.65,1.71,1.72,1.65
1.73,1.72,1.73,1.72
1.67,1.70,1.70,1.67
1.70,1.69,1.70,1.65
1.68,1.69,1.70,1.65
1.71,1.71,1.72,1.71
1.69,1.71,1.71,1.68
1.69,1.69,1.69,1.69
1.66,1.66,1.66,1.66
1.66,1.66,1.70,1.66
1.66,1.70,1.70,1.66
1.70,1.74,1.90,1.70
1.74,1.79,1.79,1.74
1.70,1.85,1.85,1.70
1.85,1.75,1.85,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.76,1.75,1.76,1.75
1.75,1.75,1.75,1.75
1.77,1.77,1.77,1.77
1.88,1.88,1.88,1.88
1.88,1.88,1.88,1.72
1.90,1.90,1.90,1.90
1.90,1.90,1.97,1.90
1.93,1.91,1.93,1.90
1.91,1.90,1.91,1.90
1.90,1.90,1.91,1.90
1.90,1.92,1.92,1.90
1.93,1.93,1.93,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.92,1.90
1.90,1.90,1.90,1.90
1.92,1.92,1.92,1.92
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.70
1.60,1.78,1.78,1.40
1.42,1.60,1.78,1.42
1.83,1.60,1.85,1.60
1.60,1.60,1.60,1.40
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.30,1.50,1.50,1.30
1.50,1.50,1.50,1.50
1.50,1.35,1.50,1.35
1.35,1.41,1.45,1.35
1.41,1.40,1.68,1.40
1.45,1.40,1.45,1.40
1.40,1.55,1.55,1.40
1.55,1.55,1.55,1.55
1.50,1.40,1.50,1.40
1.45,1.40,1.45,1.40
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.53,1.53,1.53,1.53
1.50,1.50,1.50,1.50
1.60,1.60,1.60,1.50
1.55,1.50,1.55,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.60,1.60,1.60,1.60
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.60,1.50,1.60,1.50
1.50,1.50,1.50,1.50
1.50,1.60,1.60,1.50
1.50,1.52,1.52,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.55,1.59,1.50
1.55,1.57,1.57,1.55
1.55,1.55,1.55,1.55
1.57,1.57,1.57,1.57
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.62,1.57
1.50,1.50,1.57,1.50
1.50,1.50,1.50,1.50
1.50,1.55,1.55,1.50
1.55,1.55,1.55,1.55
1.50,1.50,1.50,1.50
1.53,1.53,1.53,1.53
1.53,1.53,1.53,1.53
1.53,1.53,1.53,1.53
1.40,1.50,1.50,1.40
1.53,1.45,1.53,1.40
1.40,1.41,1.46,1.40
1.40,1.45,1.45,1.40
1.40,1.35,1.40,1.35
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.45,1.45,1.45,1.45
1.45,1.40,1.45,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.32,1.32,1.32,1.32
1.35,1.40,1.40,1.35
1.40,1.40,1.40,1.40
1.36,1.36,1.36,1.36
1.36,1.35,1.36,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.39,1.40,1.40,1.39
1.30,1.30,1.30,1.30
1.35,1.35,1.35,1.35
1.40,1.35,1.40,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.37,1.37,1.37,1.37
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.38,1.38,1.38,1.38
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.45,1.45,1.40
1.46,1.46,1.47,1.45
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.35,1.43,1.35
1.40,1.40,1.40,1.40
1.40,1.45,1.45,1.40
1.45,1.40,1.45,1.40
1.40,1.35,1.40,1.35
1.35,1.37,1.37,1.23
1.35,1.35,1.35,1.35
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.31,1.31,1.31,1.31
1.32,1.32,1.32,1.32
1.30,1.30,1.30,1.30
1.30,1.25,1.30,1.25
1.25,1.35,1.35,1.25
1.25,1.25,1.25,1.25
1.25,1.35,1.35,1.25
1.30,1.25,1.35,1.25
