UHAL,Amerco - Common Stock,NASDAQ
50.57,50.54,51.33,50.12
50.39,48.76,50.61,48.61
48.67,46.31,48.67,46.01
46.40,46.17,46.40,45.05
46.05,45.62,46.80,45.30
46.05,45.43,46.05,44.53
44.81,45.28,45.47,44.44
45.31,45.76,46.15,44.74
45.71,46.21,46.34,45.49
46.43,45.43,46.43,43.96
45.67,45.96,46.15,45.59
45.39,44.20,45.39,43.60
44.15,43.49,45.13,43.13
43.35,41.69,43.35,41.36
42.09,40.39,42.41,40.22
40.34,39.43,40.93,39.40
39.09,39.68,39.85,38.82
39.89,38.65,40.15,37.69
38.93,37.79,39.69,37.68
38.00,37.03,38.25,36.45
37.30,36.28,37.30,35.80
36.00,35.64,37.08,35.59
38.75,40.04,43.59,38.04
41.00,42.17,43.38,40.30
42.00,43.73,44.31,41.23
44.35,46.14,46.48,44.35
45.86,45.73,46.34,44.36
45.50,47.37,47.79,44.06
46.92,48.06,48.10,46.03
48.16,49.76,49.86,48.16
49.80,51.55,51.64,49.80
51.34,51.58,51.70,50.59
51.56,52.30,52.49,50.95
52.01,52.50,52.94,52.01
52.50,52.25,52.50,51.86
52.50,52.50,52.50,52.23
51.61,52.49,52.50,51.52
52.38,52.43,52.67,52.14
52.63,52.29,52.90,51.26
52.54,52.47,52.54,51.82
52.54,52.01,52.54,51.90
52.13,52.05,52.13,50.97
52.11,54.12,54.30,51.56
53.75,53.17,54.47,52.77
53.11,53.26,54.32,52.90
53.10,53.29,53.59,52.70
52.89,54.18,54.22,52.40
54.63,53.96,54.63,53.05
54.00,54.45,54.47,53.40
54.51,55.02,55.07,54.01
54.98,54.20,55.37,53.70
53.78,53.63,55.49,53.11
53.96,54.70,54.89,53.16
54.36,54.70,54.77,52.49
54.56,54.74,55.05,53.44
54.61,54.30,55.09,53.85
54.56,54.02,55.36,53.93
54.09,54.71,54.83,53.51
55.04,55.95,56.88,53.79
56.20,55.54,56.77,55.06
55.14,54.29,55.46,53.70
54.60,53.79,54.94,52.73
54.50,55.47,55.48,54.50
54.57,56.27,56.50,54.57
56.03,56.08,56.08,55.27
55.25,56.68,57.20,55.24
56.75,56.31,56.75,55.36
56.55,56.60,57.06,56.42
56.60,57.49,57.54,55.95
57.68,60.15,60.47,57.68
60.49,61.97,63.45,60.41
61.94,61.30,61.94,59.86
61.18,61.09,61.57,60.63
60.98,61.47,61.72,60.84
61.37,62.92,62.92,61.25
62.30,62.00,62.87,61.59
62.01,62.53,62.67,61.78
62.58,63.08,64.42,62.58
62.70,61.45,62.95,61.44
61.88,61.60,62.33,60.86
61.97,63.50,63.56,61.05
63.31,62.45,63.51,62.26
62.61,63.33,63.33,61.65
62.41,60.43,62.41,59.01
59.84,59.44,60.72,59.24
59.18,56.63,60.47,54.52
56.74,52.37,58.15,51.45
53.50,56.17,57.05,53.50
55.51,58.16,58.85,55.38
58.47,61.48,61.94,58.25
61.16,59.99,61.16,58.20
59.39,58.85,59.80,56.98
59.19,59.64,60.23,57.30
60.50,57.99,60.91,56.90
57.79,57.78,59.49,56.97
57.07,52.20,57.07,51.77
51.31,52.60,53.47,51.03
52.71,51.84,52.71,51.20
50.89,50.97,51.86,48.26
51.36,51.61,53.17,50.20
53.16,54.76,55.29,52.08
53.38,54.65,55.35,53.38
53.43,49.57,53.43,48.90
50.00,50.77,51.10,48.36
50.51,50.33,51.36,48.60
48.52,45.17,49.49,44.42
45.59,44.99,46.08,44.04
45.12,45.00,45.83,43.43
45.69,44.97,46.17,44.44
46.15,47.96,48.01,46.05
47.07,50.78,51.18,47.06
51.50,50.17,52.97,49.84
50.75,52.79,53.16,50.03
52.01,53.06,53.62,50.97
53.31,54.68,55.20,52.12
55.13,56.10,57.36,53.81
57.22,55.42,57.86,55.06
55.95,53.46,56.00,53.16
53.53,54.77,55.00,53.22
54.34,54.70,55.49,53.14
55.06,59.49,59.70,54.37
