MAGS,Magal Security Systems Ltd. - Ordinary Shares,NASDAQ
4.00,4.00,4.08,3.93
4.42,4.25,4.42,4.15
4.32,4.21,4.42,4.21
4.20,4.22,4.22,4.15
4.29,4.13,4.30,4.12
4.21,4.63,4.70,4.21
4.47,4.46,4.49,4.31
4.47,4.43,4.47,4.30
4.12,4.26,4.34,4.09
4.19,4.26,4.26,4.19
4.13,4.22,4.25,4.13
4.13,4.15,4.15,3.96
4.15,4.00,4.15,3.97
4.00,3.90,4.06,3.90
4.14,4.12,4.15,4.06
4.20,4.20,4.30,4.12
4.11,4.22,4.23,4.10
4.16,4.18,4.18,4.16
4.07,4.11,4.35,4.07
4.20,4.26,4.29,4.20
4.16,4.26,4.26,4.16
4.15,4.29,4.29,4.15
4.26,4.14,4.28,4.06
4.05,4.13,4.20,4.04
4.28,4.12,4.42,4.07
4.16,4.14,4.16,4.06
4.08,4.11,4.12,3.99
4.09,4.03,4.09,4.03
3.99,3.95,4.01,3.95
3.94,3.91,3.94,3.80
3.90,3.88,3.97,3.88
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.88
3.88,3.87,3.88,3.87
3.86,3.86,3.86,3.86
3.86,3.82,3.86,3.80
3.82,3.80,3.82,3.64
3.77,3.81,3.81,3.68
3.73,3.76,3.76,3.66
3.67,3.64,3.74,3.53
3.65,3.62,3.65,3.59
3.65,3.65,3.75,3.64
3.64,3.72,3.72,3.64
3.76,3.65,3.76,3.64
3.65,3.63,3.65,3.63
3.59,3.52,3.59,3.51
3.50,3.56,3.59,3.50
3.60,3.70,3.70,3.60
3.75,3.80,3.80,3.75
3.87,3.79,3.88,3.66
3.80,3.95,3.99,3.67
3.85,3.83,3.85,3.83
3.93,3.91,4.05,3.91
3.98,3.95,3.98,3.91
3.75,3.76,3.86,3.70
3.78,3.70,3.78,3.70
3.85,3.84,3.96,3.84
3.86,3.86,3.86,3.86
3.81,3.85,3.85,3.81
3.96,3.85,3.96,3.85
3.84,3.90,3.99,3.80
3.98,3.90,4.00,3.90
3.83,3.91,3.91,3.83
3.94,3.99,4.00,3.81
