CHRW,C.H. Robinson Worldwide,NASDAQ
59.22,59.34,59.66,58.94
59.18,58.11,59.49,57.39
57.82,57.34,57.99,57.20
57.08,56.79,57.14,56.18
56.70,57.55,57.62,56.60
57.50,57.72,57.91,57.22
57.47,56.99,57.64,56.79
57.00,57.32,57.46,56.34
57.02,57.62,57.88,57.02
57.51,57.72,58.11,57.23
57.70,58.13,58.47,57.64
57.53,57.78,57.85,56.89
57.69,57.63,58.37,56.98
57.71,57.35,58.15,57.24
57.49,57.46,57.84,56.79
57.19,57.10,57.59,56.94
56.83,57.46,57.60,56.62
57.64,56.54,57.64,56.20
56.68,56.63,57.28,56.63
56.84,57.40,57.65,56.69
57.24,57.42,57.54,56.68
52.84,53.54,54.38,51.50
53.31,53.25,53.95,52.67
53.16,52.44,54.08,51.16
52.65,52.08,52.97,52.01
52.64,52.67,53.68,52.11
52.00,51.84,52.51,51.31
51.63,53.10,53.30,51.46
52.47,52.12,52.70,51.68
52.39,52.75,53.29,52.39
53.05,53.00,53.43,52.57
53.05,52.90,53.08,52.77
52.78,53.50,53.97,52.78
53.77,54.16,54.31,53.31
54.24,53.56,54.50,53.14
54.00,53.68,54.24,53.31
53.00,53.49,53.54,52.50
53.49,53.33,53.56,52.70
53.29,53.56,63.65,53.02
53.50,53.21,53.74,53.17
52.82,52.47,53.08,52.38
52.70,52.67,52.91,52.25
52.68,53.25,53.38,52.67
54.05,53.32,54.10,53.30
53.25,53.39,53.56,53.02
53.52,53.67,54.07,53.09
53.36,53.46,53.65,53.04
53.57,53.87,54.07,53.12
53.97,53.88,54.23,53.45
54.12,55.28,55.68,53.99
55.35,55.68,56.21,55.16
55.46,56.58,56.81,55.28
57.24,56.60,57.68,56.38
56.36,56.23,56.65,56.14
56.07,56.43,56.49,55.76
56.40,56.12,56.42,55.73
56.43,55.65,56.78,55.56
55.64,55.56,55.97,55.25
55.71,56.09,56.77,55.71
56.01,56.22,56.45,55.80
55.83,55.85,56.12,55.64
N/A,N/A,N/A,N/A
55.98,55.66,56.16,55.44
55.24,55.28,55.68,55.00
55.43,55.15,55.67,54.97
55.18,55.60,55.72,54.78
55.75,56.45,56.69,55.71
57.60,56.44,57.60,56.44
56.28,56.59,56.73,55.91
