EDV,Vanguard Extended Duration Treasury ETF,NASDAQ
78.10,78.14,78.79,77.84
78.30,78.86,79.19,78.30
78.33,77.00,78.77,77.00
76.99,76.96,77.74,76.86
76.97,76.58,77.25,76.34
76.27,76.39,76.94,75.73
78.10,78.65,78.79,77.39
77.79,76.88,78.11,76.35
77.99,78.24,78.55,77.25
nan,79.45,nan,nan
78.62,79.32,79.71,78.62
79.58,80.20,80.56,79.58
80.50,81.32,81.40,80.34
81.13,80.70,81.50,80.52
80.20,79.80,81.63,79.79
80.37,80.23,80.37,79.79
80.25,80.33,80.90,79.83
79.63,79.59,80.12,79.28
79.60,81.10,81.15,79.60
80.56,80.14,80.56,79.85
79.86,80.33,80.45,79.86
79.75,78.90,79.75,78.76
79.50,80.78,80.95,79.48
80.16,80.98,81.69,80.05
81.03,81.14,81.15,80.69
80.99,79.81,81.46,79.79
80.00,78.62,80.00,78.50
78.29,77.65,78.35,77.15
nan,78.21,nan,nan
77.65,78.06,78.47,77.51
77.80,76.85,77.80,76.45
76.58,76.51,76.94,75.51
76.60,77.15,77.15,76.51
76.82,76.76,76.97,76.54
77.19,78.54,78.72,77.19
79.54,78.77,79.54,78.23
79.78,79.87,79.93,79.40
80.00,80.50,80.95,80.00
80.36,80.40,80.40,79.84
79.78,79.98,80.10,79.35
79.60,79.44,79.75,79.24
79.62,79.99,80.50,79.62
79.23,78.50,79.23,77.89
77.68,77.67,77.96,77.61
77.72,77.46,77.72,77.08
77.18,77.45,77.47,76.78
77.10,78.28,78.28,77.02
77.81,78.90,79.10,77.81
78.44,78.93,78.93,78.25
79.19,79.83,79.83,78.84
79.64,79.80,80.00,79.64
79.93,79.44,80.10,79.42
79.64,80.11,80.44,79.57
80.44,79.90,80.44,79.86
79.77,79.57,79.93,79.46
78.22,77.40,78.65,76.49
76.40,75.43,76.50,75.28
75.58,76.09,76.15,75.48
75.75,75.56,75.75,75.01
75.29,75.80,75.80,75.12
76.37,76.33,76.81,75.78
nan,76.42,nan,nan
75.01,74.35,75.10,74.35
74.52,74.59,74.85,74.09
74.36,76.25,76.45,74.15
76.55,76.15,76.67,76.06
76.19,76.46,76.70,76.06
76.99,77.36,77.54,76.33
77.83,77.80,77.95,77.40
77.80,76.81,77.80,76.81
76.51,76.82,77.24,76.19
77.13,77.69,77.80,76.86
77.81,77.24,77.92,77.16
77.67,77.80,77.80,77.67
78.60,79.15,79.20,77.92
79.42,78.85,79.54,78.73
78.18,78.35,78.50,78.07
78.89,78.43,78.89,78.35
79.22,80.29,80.63,79.04
79.31,78.75,79.61,78.75
79.27,79.68,79.68,78.88
79.80,80.95,80.95,79.80
80.49,81.00,81.00,80.10
82.18,83.20,83.29,82.18
84.12,83.69,85.34,83.42
83.96,87.54,89.34,83.96
86.42,86.83,90.00,86.19
84.71,83.83,84.82,81.41
83.32,83.02,83.40,82.88
82.97,82.11,82.99,81.94
82.99,82.73,83.08,81.53
83.72,85.49,86.29,83.72
85.30,84.93,86.29,84.73
85.13,86.64,87.01,85.13
87.14,87.61,88.45,86.51
88.61,90.05,91.00,88.61
91.05,91.09,92.64,90.00
91.42,90.01,91.51,90.01
92.02,90.69,92.60,90.63
90.62,90.75,90.75,89.10
88.55,87.19,89.16,87.07
nan,87.76,nan,nan
89.12,88.63,90.00,87.90
88.97,87.33,89.00,87.33
86.34,86.44,87.10,85.88
88.09,89.97,89.97,87.43
89.79,90.52,90.74,89.24
90.24,90.53,91.05,89.72
89.94,89.97,90.46,89.08
89.00,87.25,89.19,87.07
89.11,89.60,89.85,88.12
87.86,88.71,88.71,87.52
88.49,87.77,89.00,87.36
88.64,88.40,88.73,87.56
89.03,89.76,90.25,88.60
90.00,89.73,90.00,89.40
88.73,89.45,89.45,87.57
89.33,90.57,90.88,89.33
90.98,91.71,92.17,90.90
91.40,90.40,91.40,89.75
89.52,90.70,90.81,89.50
91.53,91.84,91.84,90.97
92.20,93.08,93.57,91.91
94.00,94.12,94.12,93.06
94.84,94.98,98.50,94.41
nan,93.78,nan,nan
93.84,94.24,95.11,93.07
94.56,93.09,94.67,92.99
92.34,92.42,92.85,91.86
91.48,91.10,91.48,90.32
91.36,90.88,91.78,90.51
90.54,89.34,90.54,89.01
89.92,91.25,91.33,89.63
91.37,92.48,92.77,91.36
92.53,93.23,93.60,92.46
97.00,92.13,97.00,92.00
92.87,92.14,92.91,92.00
92.29,94.95,95.02,92.29
94.20,93.26,94.20,93.00
92.84,91.42,93.17,91.30
91.37,90.87,91.41,90.14
90.11,89.81,90.17,89.35
89.00,89.83,89.86,88.62
88.60,89.71,89.80,88.34
91.13,92.01,92.01,90.88
94.32,90.02,94.32,89.57
90.00,90.10,90.92,89.80
90.66,89.25,90.66,89.25
90.00,89.56,90.49,89.56
90.48,91.02,91.16,90.00
90.66,90.71,90.91,90.50
91.33,90.75,92.22,90.30
90.96,92.60,92.60,90.95
92.61,92.28,93.54,92.00
93.22,93.99,94.29,93.05
96.83,98.10,98.29,96.78
98.40,97.28,98.40,97.04
98.57,98.06,99.55,98.03
98.67,100.48,101.49,97.96
100.91,100.57,102.40,100.06
100.18,100.29,100.77,99.22
102.07,103.37,103.53,101.40
104.38,102.26,105.32,101.52
102.59,104.16,104.20,102.59
103.56,99.86,104.28,99.44
100.61,102.75,102.75,100.42
103.77,103.86,104.15,102.74
102.18,100.70,102.57,99.95
99.76,98.81,99.77,98.11
nan,97.51,nan,nan
99.00,99.99,100.20,99.00
99.70,99.30,99.70,98.31
97.01,96.00,97.82,95.58
95.19,95.29,95.73,94.11
94.42,95.28,96.12,94.00
96.20,97.27,97.27,95.93
95.50,94.76,96.10,94.65
93.48,93.25,93.55,92.28
93.55,93.51,94.39,92.85
94.68,94.35,94.68,93.60
94.82,95.88,96.83,93.77
97.79,97.50,98.22,96.50
99.25,98.25,99.25,97.55
96.17,95.47,96.34,95.35
96.49,97.90,98.00,96.49
98.46,98.86,99.24,98.08
99.49,98.55,99.49,97.77
97.95,98.40,98.40,96.50
97.17,97.57,98.12,96.55
97.51,97.68,97.80,96.94
97.54,96.37,97.54,96.16
96.40,98.51,99.00,96.40
97.81,97.21,97.81,97.00
96.50,95.95,97.87,95.76
95.39,95.21,95.90,94.51
95.39,94.10,96.49,94.10
92.72,93.48,93.63,92.18
93.90,91.75,94.49,91.05
90.10,89.54,90.31,88.77
90.63,90.20,91.00,90.06
89.99,91.17,91.87,89.39
90.75,91.80,91.96,90.75
91.89,90.68,91.89,90.10
89.93,90.80,91.11,89.27
92.01,91.50,92.62,91.50
90.87,89.82,90.91,89.47
88.52,88.06,89.32,88.06
88.30,88.30,88.91,87.75
88.52,89.41,89.52,88.38
90.82,88.99,90.82,88.69
90.04,90.84,91.00,90.00
92.01,87.37,92.87,86.86
87.06,87.62,88.03,87.06
86.28,85.50,86.80,85.50
86.17,85.80,86.74,85.21
85.50,82.68,86.30,82.52
