VPU,Vanguard Utilities ETF - DNQ,NASDAQ
65.73,65.47,65.90,65.26
65.56,64.86,65.56,64.40
64.78,65.15,65.28,64.67
65.09,64.86,65.09,64.65
64.75,64.79,64.80,64.40
64.85,65.29,65.46,64.60
65.10,65.15,65.57,64.93
65.31,65.75,65.77,65.04
65.61,65.54,65.80,65.36
65.13,65.09,65.42,64.45
65.25,65.89,65.89,65.00
65.50,65.23,65.50,64.60
65.29,64.31,65.63,64.09
64.27,63.00,64.27,63.00
63.62,63.40,63.64,62.85
63.31,63.56,63.82,63.00
63.38,63.19,63.48,62.41
63.35,62.69,63.47,62.31
62.92,62.25,63.01,62.17
62.52,62.60,62.60,61.84
62.63,63.09,63.14,62.08
63.06,62.69,63.06,62.45
62.44,61.01,62.46,61.00
61.00,60.85,61.08,59.94
60.93,60.22,61.02,60.22
61.03,60.81,61.38,60.58
60.86,60.57,60.86,60.01
60.55,61.02,61.07,60.01
60.41,60.78,60.79,60.28
61.14,61.87,61.89,61.14
62.14,61.79,62.15,61.60
61.87,62.16,62.22,61.60
62.00,63.00,63.13,61.99
63.34,62.70,63.42,62.64
62.62,62.15,62.72,62.05
62.33,62.28,62.53,61.66
61.50,62.08,62.09,61.17
62.17,61.65,62.17,61.55
61.97,62.35,62.52,61.62
62.89,62.72,62.92,62.55
62.76,62.69,63.04,62.59
62.78,62.76,62.79,62.35
63.14,63.38,63.46,62.90
63.56,63.47,63.57,63.35
63.47,63.34,63.47,63.20
63.25,63.44,63.47,63.02
63.36,63.64,63.64,63.13
63.93,63.30,63.93,63.14
63.12,63.48,63.49,63.07
63.71,64.19,64.19,63.38
64.31,64.41,64.51,64.11
64.50,64.12,64.50,63.99
64.00,64.00,64.44,63.59
63.83,63.66,63.84,63.42
63.64,63.92,64.06,63.53
63.80,63.26,63.80,63.26
63.35,62.26,63.37,62.20
62.22,62.39,62.62,62.14
62.64,63.16,63.16,62.60
63.17,63.11,63.42,63.04
63.07,62.92,63.24,62.64
63.26,63.62,63.79,63.26
63.73,64.09,64.09,63.63
63.87,64.64,64.68,63.61
64.47,64.05,64.47,63.84
63.84,63.68,63.99,63.45
63.72,64.06,64.06,63.25
64.32,64.32,64.49,64.14
64.24,64.09,64.24,63.70
64.09,64.14,64.14,63.77
64.12,64.12,64.19,63.77
64.03,63.46,64.10,63.27
63.29,63.52,63.55,63.09
63.44,64.23,64.23,63.44
64.24,64.23,64.41,64.14
64.07,64.63,64.63,63.93
64.60,65.13,65.13,64.26
65.08,64.89,65.29,64.89
64.63,63.85,65.10,63.83
64.14,64.39,64.55,63.72
64.80,64.63,64.96,64.50
64.71,64.80,65.46,64.71
64.89,65.59,65.71,64.85
65.20,64.42,65.20,64.14
64.09,63.89,64.67,63.69
63.77,62.22,63.79,59.42
61.46,61.65,62.56,60.83
63.48,63.61,63.89,62.65
62.96,63.76,64.48,62.82
64.27,64.49,64.57,63.67
64.40,64.24,64.99,64.11
63.90,63.67,64.23,63.36
63.90,63.81,64.02,62.86
64.21,63.11,64.29,62.98
62.75,62.58,63.05,61.98
61.75,60.40,61.75,60.40
59.56,60.64,60.64,59.52
60.66,60.16,61.06,60.15
59.24,59.77,59.77,58.10
60.18,59.75,60.49,59.56
60.64,60.96,60.96,60.38
61.08,61.00,61.51,60.86
60.66,59.63,60.95,59.61
60.18,60.92,60.92,59.66
61.17,61.61,61.63,60.97
60.61,59.64,60.94,59.50
59.76,59.92,60.72,59.76
60.08,60.67,60.67,59.65
61.22,60.28,61.22,60.15
61.25,61.84,61.85,61.21
61.38,61.90,61.90,61.14
62.45,62.17,62.68,62.11
62.59,63.45,63.45,62.57
63.12,63.81,64.05,63.08
63.92,64.27,64.28,63.42
64.45,64.38,64.45,64.02
65.01,63.86,65.01,63.64
63.95,62.37,63.95,62.28
62.50,61.70,62.50,61.50
61.06,60.84,61.62,60.83
60.82,61.19,61.35,60.47
61.49,61.62,61.80,60.83
61.14,60.30,61.14,60.06
60.27,59.90,60.93,59.75
59.77,59.55,59.86,59.13
59.87,59.62,60.00,59.48
60.47,60.25,60.68,59.85
60.41,62.14,62.18,60.40
62.61,62.71,62.71,62.15
62.50,63.13,63.17,62.40
62.93,63.22,63.29,62.79
63.60,63.56,63.88,63.16
63.43,63.55,63.67,62.93
63.45,63.87,64.02,63.19
63.58,62.71,63.75,62.62
63.02,63.59,63.80,62.77
62.74,64.23,64.23,62.69
64.40,63.28,64.50,63.01
64.10,64.47,64.69,63.98
64.50,64.63,64.65,63.96
64.76,65.17,65.17,64.65
65.48,66.15,66.15,65.30
65.92,65.65,65.96,65.50
66.02,64.68,66.15,64.44
64.26,64.29,64.56,63.91
65.20,65.44,65.56,64.90
65.27,65.27,65.77,65.17
65.30,65.50,65.52,64.91
65.16,65.51,65.51,64.80
65.00,65.56,65.56,64.59
65.76,65.82,66.05,65.70
65.44,66.06,66.43,65.14
65.05,64.72,65.21,64.69
64.40,64.55,64.75,63.87
64.34,64.83,65.22,64.34
64.45,64.77,64.90,64.08
65.38,65.44,65.82,65.00
65.54,65.18,65.54,64.60
65.10,64.11,65.10,63.80
63.90,64.32,64.33,63.62
64.61,64.50,65.11,64.46
64.27,64.63,65.01,63.87
64.25,64.71,64.82,63.90
64.99,64.43,64.99,64.25
64.61,65.58,65.64,64.14
65.69,64.71,65.69,64.69
64.40,64.95,65.20,64.02
65.80,66.42,66.44,65.34
66.57,66.27,66.57,65.85
66.72,66.68,66.72,66.15
66.53,66.27,66.78,66.25
66.48,66.06,66.61,65.96
66.72,66.56,66.72,66.40
66.60,66.28,66.60,66.09
66.93,66.63,66.93,66.47
66.48,66.50,66.74,66.18
66.27,66.18,66.42,65.95
65.91,65.81,66.10,65.59
66.21,65.70,66.21,65.54
65.97,66.61,66.68,65.75
66.84,66.30,66.84,66.21
66.19,66.68,66.93,66.19
66.23,65.99,66.70,65.94
66.15,66.43,66.56,65.99
66.50,66.56,66.83,66.31
66.80,66.75,66.82,66.06
66.57,66.47,66.70,66.08
66.89,66.43,67.00,66.21
66.86,66.86,66.97,66.35
66.92,66.59,67.13,66.27
67.08,67.29,67.39,66.95
67.34,67.06,67.38,66.85
67.47,67.16,67.47,66.94
67.49,67.37,67.49,67.00
67.51,67.41,67.65,67.29
67.31,67.19,67.33,66.87
67.82,67.44,67.82,67.24
67.49,67.28,67.59,67.04
67.81,67.54,67.81,67.25
67.47,68.07,68.12,67.47
67.73,67.64,68.12,67.43
68.03,68.17,68.52,67.85
68.49,67.79,68.49,67.46
67.89,67.44,67.93,67.20
68.07,67.30,68.07,67.23
67.11,67.25,67.34,66.96
67.11,67.03,67.11,66.31
67.55,67.22,67.55,66.94
67.22,67.32,67.46,66.88
67.63,66.81,67.72,66.41
67.27,67.61,67.69,67.27
67.72,67.49,67.80,67.00
67.92,68.24,68.24,67.92
68.35,68.30,68.35,67.97
68.15,67.84,68.15,67.58
68.10,67.60,68.21,67.45
67.75,67.34,67.75,67.00
67.20,67.38,67.38,67.08
67.10,66.85,67.10,66.63
67.24,67.10,67.45,67.06
66.77,66.25,66.82,65.80
66.38,66.22,66.42,66.05
66.83,66.64,66.83,66.40
66.51,66.45,66.63,65.99
66.44,66.61,66.67,65.93
66.22,66.02,66.22,65.75
66.55,66.41,66.55,66.00
66.23,66.09,66.45,65.92
65.95,65.85,65.95,65.20
65.34,65.70,65.95,65.34
66.54,66.45,66.66,66.14
66.77,66.68,66.77,66.21
66.50,66.90,66.93,66.32
67.03,66.67,67.03,66.64
67.27,66.31,67.27,66.21
66.49,66.09,66.57,65.94
66.55,66.33,66.55,66.04
66.55,66.64,66.68,66.48
66.91,66.90,67.01,66.70
67.05,67.06,67.31,66.94
67.04,66.55,67.11,66.54
66.64,67.12,67.15,66.33
66.99,67.32,67.36,66.78
67.64,67.59,67.68,67.29
67.96,67.58,67.96,67.47
66.95,67.22,67.30,66.87
67.33,67.24,67.36,67.13
67.22,67.22,67.40,66.92
67.26,67.37,67.39,66.83
67.52,67.31,67.52,67.14
67.40,67.17,67.44,67.09
67.11,67.08,67.39,67.04
67.23,67.50,67.63,67.12
67.70,67.72,67.85,67.12
67.71,67.42,67.71,67.30
67.36,67.40,67.47,67.02
67.55,67.76,67.76,67.11
67.66,67.51,67.66,67.00
67.78,67.56,67.78,67.42
67.99,67.93,68.21,67.78
68.07,67.89,68.07,67.60
67.95,68.16,68.22,67.75
68.21,68.42,68.42,68.12
68.47,68.21,68.56,68.10
68.36,68.53,68.72,68.16
68.94,68.47,68.94,68.34
68.59,68.89,69.07,68.52
68.92,68.80,68.94,68.56
68.96,68.67,68.96,68.47
68.81,68.89,69.04,68.55
68.58,67.94,69.03,67.92
67.85,68.05,68.26,67.85
68.40,68.84,68.88,68.21
68.60,68.52,68.78,68.48
68.48,68.77,68.81,68.25
68.82,68.37,68.82,68.06
68.30,68.78,68.81,68.30
68.99,68.78,68.99,68.60
68.70,68.76,68.80,68.42
68.51,68.83,68.89,68.27
68.97,68.85,69.06,68.70
68.69,68.46,68.70,68.15
68.30,68.63,68.69,68.17
68.73,68.50,68.79,68.21
68.29,68.80,68.82,68.29
68.53,68.78,68.89,68.53
68.69,68.50,68.82,68.30
68.43,68.19,68.69,68.19
68.41,67.94,68.41,67.85
68.15,68.46,68.48,68.01
68.79,69.16,69.49,68.60
69.25,68.61,69.55,68.61
68.59,68.84,68.91,68.50
69.37,69.54,69.66,69.26
69.73,69.14,69.73,68.62
69.36,69.30,69.85,69.12
69.37,70.03,70.18,69.37
70.00,70.74,70.77,69.99
70.41,69.69,70.41,69.68
69.70,69.92,70.06,69.48
69.27,69.13,69.31,68.67
68.28,67.93,68.28,67.61
67.68,66.90,67.93,66.50
67.64,67.08,67.73,66.65
67.87,67.37,67.98,67.14
68.35,68.32,68.51,67.99
68.60,68.38,68.65,68.17
68.61,68.32,68.61,67.92
68.84,68.60,68.84,68.16
68.43,68.05,68.43,67.93
68.15,67.77,68.41,67.74
67.95,68.35,68.42,67.61
68.69,69.21,69.40,68.52
69.41,69.07,69.41,68.89
69.40,69.58,69.70,69.21
69.72,69.59,69.72,69.44
69.60,69.44,69.72,69.38
69.84,69.92,69.93,69.60
69.99,69.58,69.99,69.38
69.77,69.43,69.77,69.13
69.57,68.49,69.57,68.34
68.35,68.10,68.50,67.89
68.41,68.32,68.67,68.29
68.09,68.66,68.73,67.90
68.78,69.38,69.56,68.78
69.19,68.72,69.19,68.48
68.73,68.72,68.76,68.50
69.44,69.57,69.69,69.31
69.81,69.71,69.81,69.52
69.71,69.78,69.92,69.59
70.00,70.41,70.44,69.96
70.44,70.98,71.07,70.44
70.94,71.57,71.61,70.90
71.63,71.75,71.76,71.44
71.99,71.67,72.04,71.62
71.70,72.03,72.44,71.70
72.16,71.84,72.16,71.33
71.55,71.27,71.69,71.00
71.72,71.71,72.23,71.38
71.86,71.97,72.04,71.43
72.01,72.95,73.12,72.01
72.97,72.64,72.97,72.21
72.42,73.24,73.32,72.42
73.50,72.89,73.50,72.48
72.97,72.84,73.43,72.73
72.98,73.18,73.24,72.69
73.34,73.15,73.34,72.71
73.44,73.32,73.44,72.95
73.25,73.30,73.59,72.95
72.97,72.39,73.00,72.29
72.57,72.24,72.57,72.20
72.31,72.21,72.45,71.53
72.07,72.18,72.27,71.64
72.52,72.30,72.62,72.18
72.96,72.86,72.96,72.44
72.64,72.09,72.82,72.06
72.06,71.79,72.06,71.35
71.29,71.27,71.61,70.82
71.19,70.87,71.19,70.79
71.19,70.98,71.54,70.95
70.97,71.16,71.36,70.88
71.28,71.19,71.48,70.93
71.05,70.82,71.10,70.80
70.91,71.01,71.21,70.65
71.62,71.19,71.62,70.95
70.96,70.47,71.35,70.29
70.39,71.03,71.19,70.39
71.50,71.51,71.83,71.41
71.41,71.89,71.90,71.10
72.15,72.02,72.30,71.77
71.95,71.55,71.96,71.47
71.02,71.03,71.05,70.42
70.63,70.47,71.03,70.46
70.67,71.00,71.12,70.65
71.26,71.43,71.56,71.04
71.74,71.78,71.88,71.38
72.11,71.98,72.11,71.50
72.04,72.90,72.98,72.02
72.97,72.56,72.97,72.44
72.49,72.75,72.91,72.32
73.36,73.04,73.36,72.74
72.80,72.79,72.81,72.37
72.17,71.95,72.20,71.75
71.82,72.28,72.69,71.74
72.69,72.16,72.69,72.02
72.29,71.77,72.40,71.73
71.82,71.91,72.02,71.50
71.67,71.15,71.67,70.98
71.45,71.73,71.87,70.91
71.93,72.17,72.38,71.73
72.57,73.22,73.30,72.57
73.31,72.83,73.31,72.69
72.24,72.92,73.23,72.24
73.01,72.60,73.01,72.55
72.38,72.28,72.67,72.23
72.36,71.90,72.36,71.81
71.34,71.18,71.80,70.94
71.70,71.39,71.84,70.97
70.93,70.28,71.28,70.23
70.37,70.27,70.37,69.30
69.70,67.94,69.91,67.87
68.21,68.22,68.65,66.81
66.31,64.40,67.65,64.15
65.07,66.83,66.85,62.94
66.11,65.46,67.14,65.33
65.73,68.24,68.92,65.64
69.10,67.86,69.10,67.54
68.52,70.23,70.25,68.34
69.67,70.00,70.19,69.27
70.35,70.49,71.10,70.34
69.72,69.46,69.72,68.50
68.86,68.87,69.53,68.65
70.24,68.68,70.24,68.40
69.14,70.08,70.10,68.43
70.08,71.60,71.65,69.63
71.91,70.52,71.91,70.25
70.35,70.53,70.81,68.89
71.47,72.04,72.05,71.27
71.69,71.98,72.32,71.60
72.50,72.46,72.70,72.23
72.68,72.08,72.93,72.04
71.39,71.14,71.69,71.01
70.00,70.77,70.79,69.23
71.40,71.58,71.64,70.95
71.65,71.58,72.26,71.25
71.12,70.05,71.12,69.61
69.30,70.48,70.51,69.30
71.02,70.98,71.08,70.12
71.45,71.59,72.19,70.57
72.38,72.54,72.64,71.83
72.85,73.20,73.47,72.70
72.50,72.84,73.01,72.00
73.24,73.65,74.67,73.01
73.85,72.37,74.01,72.37
71.42,70.98,71.42,70.20
70.10,70.94,71.18,70.01
71.21,71.57,71.60,70.78
72.68,71.92,72.68,71.62
72.30,71.12,72.30,70.93
72.06,72.13,72.25,71.33
71.82,71.46,72.29,71.41
71.51,69.60,71.89,69.60
69.31,69.45,69.51,67.73
69.91,69.61,69.91,68.60
69.90,70.74,70.80,69.61
71.22,70.89,71.45,70.53
72.07,72.37,72.37,71.63
72.37,71.74,72.37,71.47
72.12,71.67,72.14,71.59
71.34,71.81,71.85,70.83
72.39,72.42,72.42,71.89
72.25,72.03,72.50,71.98
72.04,72.63,72.97,71.61
72.44,72.77,73.68,72.44
72.98,73.01,73.25,72.54
73.53,74.26,74.26,73.53
74.32,74.14,74.32,73.87
74.14,73.12,74.14,73.00
73.98,73.49,73.98,73.12
75.05,75.25,75.67,74.69
75.19,74.89,75.19,74.40
74.42,74.30,75.10,74.19
73.34,72.73,73.74,72.58
73.58,73.90,74.55,73.52
74.55,75.09,75.23,74.13
74.74,74.67,74.78,73.80
74.86,75.00,75.00,74.09
75.26,75.51,75.52,74.45
74.60,73.71,74.70,73.58
74.55,74.31,74.64,73.78
75.18,75.37,75.37,74.99
75.45,74.51,75.45,74.41
74.52,74.75,74.90,74.19
74.42,73.94,74.77,73.82
73.90,73.30,74.16,72.98
73.65,73.88,74.13,73.65
73.53,72.93,73.53,72.37
72.93,72.10,73.00,71.93
71.59,70.96,71.59,70.72
70.78,71.21,71.65,70.78
72.68,72.16,72.76,71.90
72.34,73.01,73.22,72.34
74.55,75.09,75.10,74.33
74.94,74.94,75.41,74.79
75.16,74.22,75.20,74.18
75.11,74.83,75.25,74.41
74.91,74.96,75.30,74.66
74.95,74.79,75.03,74.28
74.79,73.62,74.79,73.50
73.85,74.76,74.79,73.85
74.39,73.98,74.42,73.43
74.47,74.28,75.12,74.10
74.02,73.68,74.33,73.68
74.33,74.77,74.86,74.25
75.00,74.63,75.23,74.35
74.92,73.93,75.01,73.81
74.77,75.59,75.60,74.70
75.04,75.89,75.93,74.90
76.07,76.04,76.15,75.77
76.32,76.57,76.76,76.25
76.74,77.23,77.28,76.42
77.36,76.74,77.36,76.70
77.16,77.36,77.44,77.02
77.49,76.89,77.49,76.89
77.46,75.65,77.57,75.40
75.57,75.19,75.75,75.14
75.13,75.27,75.47,74.63
75.40,74.78,75.40,74.78
75.06,74.94,75.06,74.56
75.53,75.08,75.54,74.96
74.89,74.77,75.08,74.64
74.99,74.65,75.04,74.42
74.19,74.51,74.51,74.00
75.02,74.53,75.25,74.33
74.57,74.51,74.57,74.09
74.46,73.85,74.57,73.76
73.92,74.06,74.06,73.64
74.05,74.24,74.70,74.05
73.99,73.66,73.99,73.55
73.50,74.84,74.89,73.00
74.95,75.03,75.30,74.64
74.86,74.22,74.86,74.00
73.74,73.79,73.89,73.35
73.89,74.12,74.16,73.74
74.18,74.41,74.61,74.18
74.54,74.32,74.74,74.25
74.64,74.59,74.84,74.18
74.25,74.30,74.53,74.13
74.07,74.85,75.04,73.99
74.94,74.87,74.94,74.37
74.95,74.70,74.95,74.46
74.39,74.50,74.53,74.26
74.87,74.43,75.00,74.37
74.23,74.46,74.56,74.05
74.63,74.18,74.66,73.93
74.27,75.01,75.25,74.27
75.14,74.92,75.45,74.88
74.96,74.70,75.13,74.63
74.60,74.85,75.04,74.53
74.82,74.90,75.00,74.65
74.95,75.14,75.39,74.76
75.02,74.98,75.15,74.67
74.91,74.61,75.08,74.37
74.57,74.59,74.92,74.17
74.59,74.78,74.99,74.45
74.76,74.71,74.86,74.42
74.65,74.88,74.97,74.20
74.46,74.50,74.57,74.13
74.62,74.60,74.66,74.05
74.94,74.94,75.04,74.59
75.08,75.34,75.35,74.68
75.26,76.05,76.14,75.26
76.37,76.27,76.37,75.81
76.36,75.23,76.38,75.09
75.18,75.17,75.33,74.75
75.12,75.01,75.14,74.81
75.03,74.65,75.29,74.63
74.36,74.71,74.85,74.36
74.78,74.59,74.90,74.49
74.25,74.60,74.63,74.15
74.71,74.67,74.81,74.48
74.40,74.55,74.72,74.08
74.56,74.80,74.97,74.54
74.72,74.23,74.76,73.95
74.01,74.50,74.54,73.46
74.72,74.84,74.85,74.51
74.86,75.19,75.48,74.63
75.18,75.23,75.25,74.73
74.78,75.05,75.15,74.72
74.81,74.45,74.81,74.20
73.77,74.00,74.15,73.77
73.75,73.02,73.75,72.87
73.36,73.12,73.54,73.01
73.12,73.44,73.45,72.88
73.29,73.16,73.82,73.15
73.25,73.78,74.00,73.25
74.26,74.35,74.39,73.54
74.15,74.13,74.42,73.97
74.07,73.90,74.18,73.67
73.98,74.65,74.76,73.92
74.27,74.20,74.27,73.92
74.41,74.80,74.84,74.26
74.92,75.23,75.35,74.88
75.21,75.71,75.80,75.12
75.73,76.03,76.09,75.66
76.04,76.15,76.21,75.75
76.08,76.47,76.74,75.96
76.20,76.04,76.20,75.90
75.99,75.71,76.40,75.62
75.59,75.76,76.11,75.54
75.64,75.57,75.68,75.34
75.40,75.82,75.85,75.34
75.41,75.78,76.10,75.20
76.06,76.48,76.73,76.06
76.31,76.54,76.91,76.31
76.16,76.32,76.62,75.92
76.29,75.87,76.41,75.69
76.14,75.94,76.16,75.80
75.95,75.46,76.09,75.45
75.65,75.30,75.93,75.17
75.29,75.49,75.51,75.00
75.70,75.91,76.07,75.65
75.47,75.43,75.95,75.09
75.39,75.86,76.17,75.34
75.88,76.02,76.29,75.88
