ARE,Alexandria Real Estate Equities,NASDAQ
64.69,63.55,65.35,62.92
63.50,62.88,63.77,62.35
62.99,62.55,63.38,62.14
62.55,63.13,63.49,62.10
63.06,62.92,63.53,62.68
63.64,63.25,63.92,62.70
62.70,63.34,63.58,62.60
63.70,63.51,64.19,63.20
63.47,63.49,63.71,62.80
63.30,62.71,64.17,62.71
62.88,63.45,63.79,62.65
64.07,63.99,64.40,63.03
64.12,62.30,64.14,61.96
62.30,61.88,63.02,61.05
62.57,62.05,62.57,61.32
61.43,60.86,61.50,60.58
60.74,60.87,61.15,59.45
60.99,60.26,60.99,59.68
60.36,59.73,60.94,59.31
60.18,60.72,61.01,59.89
60.72,61.50,61.59,60.12
61.00,61.36,61.54,60.35
60.77,58.67,60.95,58.64
58.67,59.28,59.63,57.54
59.51,57.37,59.51,57.34
58.30,57.25,58.30,56.50
57.15,57.34,57.74,56.12
57.04,56.89,57.39,55.54
56.13,58.38,58.46,56.13
59.19,61.20,61.40,59.14
61.27,61.07,61.67,60.58
60.82,61.69,62.00,60.81
61.47,61.59,62.03,61.26
62.02,61.35,62.18,61.31
61.21,61.76,62.17,61.09
61.68,61.68,62.04,61.36
60.93,62.00,62.13,60.49
62.04,61.62,62.58,61.38
61.90,61.90,62.16,61.55
62.36,62.40,62.49,61.69
62.39,62.43,62.95,61.72
62.46,62.19,63.07,61.95
62.57,63.28,63.60,62.25
63.25,64.47,64.67,63.03
64.04,64.62,65.88,63.82
64.46,64.82,65.00,64.05
64.33,64.90,65.30,64.24
65.09,65.01,65.44,64.54
65.03,65.26,65.53,64.14
65.30,66.92,67.00,65.08
66.93,67.34,67.62,66.69
67.34,67.45,68.26,67.27
67.49,66.59,67.58,66.51
66.03,67.50,67.79,65.72
67.11,66.99,67.14,65.83
66.63,67.40,67.94,66.46
67.82,67.87,69.03,67.69
67.80,68.23,68.68,67.48
68.56,68.60,68.81,67.91
68.28,68.17,68.51,67.79
67.99,67.60,68.42,67.31
67.92,68.03,68.41,67.55
68.25,69.77,69.93,67.96
69.57,71.84,71.93,69.08
71.84,71.02,72.41,70.58
70.82,71.20,71.60,70.55
71.25,72.56,72.66,71.20
72.57,71.50,72.69,71.13
71.53,72.76,73.31,71.39
73.13,71.85,73.42,71.42
71.76,70.24,72.27,70.08
70.03,69.40,70.71,68.79
