SM,SM Energy Company Common Stock,NASDAQ
35.00,36.13,36.13,34.69
36.11,36.77,36.82,35.90
36.49,37.20,37.27,36.13
36.81,37.00,37.19,36.30
36.53,37.65,37.72,36.11
37.90,37.31,38.18,36.47
36.61,36.12,36.62,36.04
36.18,36.32,36.38,35.05
36.40,37.89,38.03,36.35
37.37,37.44,37.94,37.05
37.18,37.72,37.76,37.18
37.25,37.00,37.56,36.87
37.25,36.36,37.55,36.27
36.28,36.20,37.20,35.76
36.40,36.51,37.61,36.39
35.86,35.58,36.45,35.56
35.30,34.34,35.95,33.90
34.52,33.19,34.65,32.74
33.55,32.04,33.79,31.87
32.70,33.39,33.43,32.27
33.49,34.47,34.62,32.90
34.39,33.62,34.62,33.52
32.80,31.90,33.11,31.59
31.82,31.88,31.92,30.70
32.00,31.85,32.16,31.26
32.58,32.72,33.06,32.21
32.50,32.59,32.95,31.91
32.59,33.18,33.23,32.39
32.51,33.31,33.31,32.35
33.82,34.43,34.50,33.82
34.48,34.44,34.60,34.19
34.29,34.12,34.44,33.69
34.12,34.20,34.28,33.78
34.45,33.51,34.50,32.86
32.90,31.64,33.37,31.45
31.67,31.91,32.23,31.44
31.12,31.94,32.01,30.93
33.09,32.58,33.17,32.17
32.81,33.55,33.65,32.53
33.61,34.21,34.45,33.49
34.40,34.99,35.24,34.33
35.00,35.05,35.36,34.64
35.51,36.11,36.24,35.50
36.11,36.27,36.30,35.94
36.93,36.69,37.42,36.52
36.69,36.88,36.89,36.37
36.08,37.02,37.22,36.08
37.39,36.83,37.39,36.60
36.80,36.70,36.80,36.17
36.74,37.02,37.24,36.44
37.26,37.33,37.60,36.92
37.26,35.91,37.69,35.70
34.08,34.08,36.17,34.03
33.61,33.61,33.69,32.60
33.56,34.74,34.81,33.56
34.31,34.84,35.08,34.15
35.24,33.63,35.35,33.60
33.84,33.58,33.87,33.15
33.75,34.44,34.48,33.67
34.45,34.19,34.45,33.90
34.22,34.81,35.31,34.22
35.37,36.66,36.67,35.29
37.17,37.90,37.91,36.84
37.60,38.36,38.55,37.52
38.42,37.75,38.88,37.57
37.23,37.60,37.71,36.74
37.92,37.76,38.31,37.34
37.76,38.09,38.58,37.55
38.07,37.73,38.61,37.61
38.22,38.09,38.39,37.77
39.32,39.45,39.85,38.50
39.17,38.32,39.35,38.14
38.08,38.00,38.38,37.34
38.47,39.49,39.71,38.27
39.75,39.50,39.91,39.26
38.96,39.82,39.84,38.69
39.89,41.90,42.43,39.46
42.11,41.87,42.43,41.57
41.69,40.44,42.14,40.26
40.53,40.44,41.18,39.78
41.16,40.69,41.20,39.73
41.11,40.24,41.42,40.01
40.68,40.20,40.85,39.68
42.00,42.24,42.86,40.70
41.01,42.72,44.14,40.55
42.64,40.15,43.06,37.72
40.57,38.77,40.57,38.02
41.19,42.29,42.36,40.17
41.57,42.59,43.58,41.57
42.65,43.86,44.36,42.65
43.40,44.10,44.81,43.19
43.83,43.25,43.84,42.41
43.59,41.27,43.88,40.21
42.00,41.80,43.21,41.42
41.78,40.88,42.41,39.72
39.41,37.68,39.41,37.62
36.88,39.97,40.04,36.70
39.93,38.61,40.48,38.57
37.55,38.79,38.92,37.12
39.92,39.89,40.84,39.65
39.98,42.66,42.70,39.98
42.56,43.24,44.03,42.45
42.50,42.57,44.34,42.44
43.49,45.71,45.80,42.51
45.79,46.13,46.79,44.12
45.30,43.87,47.00,43.46
44.27,43.13,45.26,43.09
43.30,44.80,44.93,42.76
45.08,44.69,46.89,44.34
45.71,45.93,46.36,44.63
45.07,46.59,46.66,45.02
47.53,46.61,48.41,46.50
47.39,47.81,48.16,47.16
47.56,47.79,48.34,46.74
47.90,46.47,47.95,45.87
46.30,47.55,47.80,46.08
48.39,47.17,49.13,46.49
47.20,44.56,47.29,44.29
43.95,44.62,45.25,43.82
44.40,43.67,45.03,43.35
43.79,43.79,44.13,42.85
43.95,43.00,43.98,42.90
42.26,40.40,42.40,40.11
40.31,40.16,41.28,39.97
40.05,40.15,40.75,38.63
40.37,39.44,40.89,39.28
40.67,40.70,41.85,40.08
41.19,43.45,43.45,41.03
44.39,44.34,44.85,43.37
44.08,44.63,44.66,43.61
44.32,43.88,44.74,43.36
44.73,44.34,44.80,43.78
43.97,44.35,44.93,43.58
44.18,43.81,44.22,42.72
43.20,41.14,43.51,41.12
41.36,41.95,42.03,40.81
40.81,42.80,43.14,40.78
43.09,42.44,43.49,41.92
43.24,43.90,44.23,42.92
43.60,43.96,44.15,42.75
44.16,43.85,44.25,43.20
44.37,42.47,44.39,42.31
42.22,41.77,42.57,41.43
42.01,41.42,42.72,40.82
40.63,41.42,41.68,40.39
42.35,43.01,43.56,42.13
42.45,39.74,42.45,39.54
40.10,41.43,41.83,39.79
40.83,41.47,42.04,40.83
40.64,40.27,41.22,39.96
40.73,40.32,40.73,39.87
39.58,39.39,39.72,38.89
38.40,37.86,38.54,37.69
36.94,36.68,37.55,36.31
36.49,37.23,37.44,36.49
36.80,36.82,36.92,36.20
37.14,37.13,37.51,36.85
36.93,36.99,37.49,36.50
36.72,36.46,37.05,36.40
36.20,35.48,36.22,35.24
35.62,35.57,36.21,35.10
35.03,34.80,35.13,33.80
34.62,35.55,35.78,34.20
