FCNCA,First Citizens BancShares,NASDAQ
166.80,170.04,170.04,166.71
169.77,174.31,174.66,169.18
173.00,179.70,179.71,170.76
179.01,178.59,183.97,178.13
176.62,177.18,179.83,174.23
179.47,178.67,179.99,174.38
175.72,178.08,179.43,175.72
173.03,178.99,179.55,173.03
179.20,179.99,180.21,176.04
178.03,177.00,179.64,173.44
175.10,178.66,178.95,175.10
177.93,176.86,178.71,176.43
175.41,175.03,176.50,170.21
173.23,173.82,176.22,173.23
174.51,176.76,179.28,174.51
174.29,173.02,179.49,172.03
172.01,176.12,176.12,172.01
177.38,172.64,177.38,172.00
172.83,167.71,173.27,167.37
170.39,171.15,174.69,170.39
172.92,172.27,174.00,170.50
174.98,172.00,174.98,171.00
172.73,168.24,172.73,168.24
169.00,170.15,173.28,164.26
171.20,169.21,171.91,169.21
170.41,170.00,174.82,168.83
170.50,171.87,171.87,169.40
171.06,171.88,172.71,170.79
170.00,172.17,172.17,169.22
174.99,175.85,175.85,173.59
175.85,175.43,175.89,173.06
174.83,174.84,176.85,172.39
175.11,175.61,176.25,174.06
176.63,177.04,177.37,173.65
177.00,181.14,181.14,176.25
181.14,181.60,183.77,179.35
179.21,181.00,182.90,178.65
180.31,182.99,183.00,179.82
183.10,180.50,184.84,179.63
182.31,180.77,182.89,180.00
180.57,180.00,182.43,179.10
181.31,180.59,181.31,180.00
180.73,185.40,186.00,180.61
186.00,196.66,198.79,185.80
196.46,200.60,202.11,193.45
199.67,200.00,202.16,197.47
199.70,200.00,200.72,196.19
199.65,199.57,201.37,198.80
198.00,201.27,203.00,197.10
201.01,201.26,202.85,197.95
201.56,212.00,212.67,201.56
212.00,209.48,212.33,208.43
208.33,204.89,213.48,204.89
205.14,206.40,210.47,204.61
208.08,206.02,208.61,205.51
206.01,204.00,208.25,203.51
205.77,204.30,207.95,203.50
205.74,200.70,205.74,200.27
200.11,202.85,202.90,197.73
205.80,204.92,207.20,201.55
206.40,198.76,206.40,198.76
200.85,200.89,202.79,198.81
203.41,201.41,203.41,195.31
