RGA,Reinsurance Group of America,NASDAQ
47.93,48.56,48.63,47.49
48.37,48.98,49.39,47.89
48.97,48.93,49.22,48.74
49.00,49.54,49.60,48.47
49.49,50.08,50.11,49.01
50.45,49.82,50.48,49.22
48.66,48.94,49.30,48.23
49.24,50.02,50.13,48.68
49.65,50.36,50.83,49.65
50.42,49.29,50.56,49.29
49.07,49.91,50.16,49.03
49.58,50.01,50.10,49.27
49.96,49.51,50.39,49.23
49.62,48.41,50.18,48.29
48.70,48.26,48.85,48.23
48.11,47.91,48.64,47.91
47.94,48.52,48.52,47.44
48.80,48.20,48.93,47.82
48.27,48.72,49.63,48.12
49.16,49.12,49.16,48.50
49.25,48.97,49.55,48.06
48.65,48.21,48.65,47.70
47.94,46.23,48.35,46.18
46.08,45.97,46.36,45.11
46.09,45.57,46.49,45.57
46.13,46.26,46.39,45.43
46.10,45.85,46.42,45.45
45.72,45.94,46.16,45.39
45.39,45.85,45.85,44.89
46.07,46.35,46.40,45.64
45.01,46.59,46.87,45.01
46.49,46.88,46.96,46.44
46.87,47.10,47.37,46.66
47.19,47.29,47.44,46.82
47.06,46.93,47.48,46.60
47.30,47.33,47.34,46.54
46.56,47.56,47.64,46.56
47.78,47.53,47.83,47.32
48.00,48.38,48.39,47.79
48.44,48.54,48.62,48.23
48.85,49.10,49.21,48.61
49.35,49.68,49.81,49.17
49.81,50.06,50.20,49.60
50.06,50.26,50.39,49.71
50.26,50.10,50.89,49.86
50.05,49.85,50.24,49.63
49.67,50.19,50.31,49.62
50.65,50.15,50.66,49.82
50.15,50.06,50.15,49.49
50.11,50.60,50.61,50.05
50.83,50.69,51.21,50.45
50.64,51.29,51.31,50.36
50.47,50.47,51.29,50.34
50.04,50.66,50.80,49.81
50.62,50.98,51.02,50.22
50.86,51.47,51.73,50.78
51.66,51.21,51.96,51.19
51.36,50.79,51.45,50.66
50.96,51.26,51.28,50.78
51.40,51.37,51.74,51.34
51.29,52.52,52.64,51.08
52.88,52.76,53.10,52.38
52.83,53.04,53.04,52.75
52.94,52.93,53.35,52.84
52.94,53.27,53.64,52.73
53.17,52.88,53.37,52.32
52.84,53.09,53.17,52.60
53.03,53.63,53.72,52.75
53.63,53.88,53.94,53.51
54.08,54.92,54.94,54.03
55.85,55.44,56.28,55.33
55.33,54.40,55.61,54.13
54.13,55.33,55.59,54.02
55.86,55.96,56.00,55.36
56.00,55.16,56.14,55.03
54.94,55.14,55.22,54.27
55.29,55.92,56.13,55.11
56.01,55.82,56.49,55.70
54.65,51.80,54.65,50.64
51.91,51.87,52.64,51.53
52.36,52.12,52.51,51.67
52.25,51.63,52.77,51.62
51.68,51.08,51.68,50.26
50.31,50.18,50.78,49.92
49.56,49.67,50.67,49.56
49.34,48.24,49.84,45.73
47.83,46.94,48.26,46.56
48.60,50.27,50.28,48.16
49.70,50.24,50.70,49.21
50.36,50.53,50.61,50.00
50.55,49.36,50.75,49.26
49.13,48.50,49.39,48.09
48.88,48.96,49.20,47.82
49.46,48.52,49.46,48.29
48.35,48.56,48.87,47.90
47.91,46.20,48.43,46.20
45.42,46.45,46.64,45.27
46.41,45.78,46.88,45.76
44.92,45.68,45.75,44.38
45.82,46.01,46.73,45.82
47.00,47.76,47.87,46.58
47.52,46.97,47.86,46.88
46.48,45.60,47.20,45.55
45.88,46.55,46.59,45.51
46.75,46.38,46.91,46.06
45.52,44.82,45.82,44.74
45.05,44.73,45.57,44.72
44.86,45.44,45.54,44.21
45.69,44.56,45.93,44.39
45.30,46.04,46.11,45.08
45.65,46.47,46.58,45.62
46.50,46.11,47.15,46.01
46.22,47.58,47.68,46.22
47.23,47.66,47.82,47.12
47.59,48.21,48.22,47.32
48.05,48.29,48.38,47.87
48.93,48.12,49.05,47.82
48.09,47.39,48.51,47.38
47.47,46.63,47.49,46.36
46.33,47.09,47.44,46.04
47.16,48.35,48.70,47.00
48.33,48.45,48.82,48.04
47.86,46.45,48.02,46.14
46.46,45.71,46.92,45.63
45.67,45.07,45.87,44.41
45.35,44.93,45.52,44.73
45.71,45.20,45.71,44.74
45.50,47.44,47.50,45.35
47.90,47.91,48.05,47.29
47.72,48.12,48.24,47.68
47.85,47.93,48.30,47.51
48.46,48.55,48.68,47.92
48.32,48.20,48.59,47.80
48.10,47.79,48.12,47.19
47.40,46.03,47.60,45.97
46.13,46.01,46.32,45.50
45.50,46.33,46.40,44.90
46.56,46.22,47.08,46.17
46.77,48.11,48.12,46.74
47.78,49.07,49.08,47.58
49.30,49.94,49.95,49.29
50.37,49.76,51.09,49.71
49.78,48.50,50.03,48.47
48.85,47.92,49.21,47.78
47.37,47.98,48.35,46.91
48.57,48.52,48.68,48.19
48.33,48.18,48.58,47.92
48.23,48.77,48.89,48.18
48.54,48.91,49.10,48.50
48.25,48.82,48.84,48.02
49.22,49.55,49.61,48.91
49.05,48.68,49.18,48.39
47.90,47.28,48.00,47.26
46.81,46.92,47.24,46.16
46.79,46.71,47.19,46.57
46.47,47.05,47.18,46.30
47.51,47.89,48.04,47.34
47.93,47.67,48.07,47.34
47.53,46.42,47.53,46.36
46.16,45.75,46.18,45.52
46.03,45.51,46.37,45.51
45.11,44.47,45.12,44.44
44.00,44.62,44.93,43.77
44.71,43.60,44.96,43.56
43.81,44.25,44.45,43.21
44.00,43.53,44.36,43.50
43.28,43.74,43.88,42.72
44.35,46.01,46.03,44.33
46.05,45.45,46.21,45.18
46.26,46.73,46.73,45.73
46.43,45.59,46.51,45.56
45.71,46.23,46.59,45.70
46.86,46.60,46.94,46.32
46.66,46.56,46.81,46.33
47.14,47.25,47.38,46.79
47.30,47.33,47.66,47.00
47.08,47.53,47.67,46.74
