AGZ,iShares  Agency Bond ETF,NASDAQ
107.68,107.62,107.73,107.41
107.86,107.99,107.99,107.72
107.75,107.73,107.94,107.69
107.96,107.85,108.47,107.70
108.00,108.01,108.03,107.77
108.11,108.03,108.11,107.87
108.17,108.28,108.28,108.11
108.21,108.01,108.22,107.89
108.01,108.25,108.26,108.01
nan,108.27,nan,nan
108.17,108.14,108.27,108.14
108.40,108.36,108.50,108.35
108.16,108.53,108.68,108.16
108.38,108.72,108.74,108.33
108.46,108.54,108.54,108.32
108.52,108.65,108.72,108.33
108.66,108.39,108.71,108.27
108.38,108.67,108.67,108.36
108.32,108.68,108.75,108.31
108.37,108.42,108.43,108.13
108.44,108.40,108.46,108.13
108.19,108.16,108.31,108.06
108.47,108.45,108.54,108.30
108.38,108.67,108.79,108.33
108.60,108.59,108.60,108.43
108.59,108.39,108.59,108.25
108.43,108.25,108.60,108.15
108.35,108.33,108.35,108.16
nan,108.50,nan,nan
108.34,108.56,108.56,108.25
108.43,108.35,108.46,108.21
108.40,108.10,108.42,108.09
108.05,108.06,108.31,108.02
108.25,108.10,108.35,108.06
108.44,108.59,108.60,108.37
108.67,108.69,108.69,108.54
108.74,108.81,108.81,108.74
108.82,108.88,108.94,108.69
108.73,108.71,108.74,108.40
108.63,108.71,108.72,108.45
108.53,108.66,108.73,108.47
108.36,108.65,108.67,108.36
108.40,108.45,108.50,108.34
108.17,108.39,108.42,108.17
108.46,108.46,108.46,108.33
108.18,108.40,108.40,108.18
108.30,108.31,108.49,108.16
108.09,108.35,108.38,108.09
108.21,108.30,108.36,108.20
112.95,108.45,112.95,108.19
108.29,108.44,108.57,108.29
108.54,108.44,108.56,108.34
108.39,108.32,108.49,108.23
108.27,108.23,108.39,108.23
108.39,108.38,108.47,108.35
108.16,108.11,108.36,107.99
107.93,108.07,108.12,107.91
108.14,108.14,108.18,108.00
108.21,108.18,108.22,108.02
108.15,108.10,108.15,108.00
108.22,108.19,108.28,108.10
nan,107.95,nan,nan
107.69,107.48,107.70,107.40
107.62,107.63,107.65,107.51
107.56,107.88,108.00,107.55
107.91,107.89,108.00,107.83
107.91,107.82,107.96,107.77
108.02,107.94,108.05,107.90
108.18,108.06,108.18,107.96
108.16,108.02,108.18,108.00
108.08,108.20,108.22,107.93
108.29,108.31,108.38,108.16
108.24,108.20,108.35,108.14
108.26,108.09,108.26,108.04
108.23,108.20,108.23,108.08
108.34,108.10,108.34,108.00
108.13,107.90,108.13,107.83
107.98,108.04,108.13,107.94
108.25,108.26,108.42,108.05
108.23,108.18,108.23,108.07
108.29,108.22,108.31,108.06
108.22,108.45,108.46,108.22
108.19,108.06,108.24,108.06
108.21,108.40,108.45,108.15
108.48,108.59,108.72,108.36
