SAM,Boston Beer Company,NASDAQ
47.12,47.53,47.90,46.71
47.73,47.80,49.38,47.37
47.62,47.27,47.77,46.89
47.37,46.95,47.58,46.62
47.00,47.11,47.37,46.61
47.52,47.14,47.99,46.78
46.80,47.47,48.00,46.80
47.72,48.15,48.57,47.72
48.20,48.25,48.89,48.16
48.44,48.20,48.94,48.06
48.17,48.42,48.83,48.08
48.44,46.87,48.44,46.77
47.12,46.51,47.48,46.20
46.53,47.00,47.50,46.48
47.35,47.07,48.01,46.59
47.11,46.26,47.11,46.00
46.04,46.33,46.85,46.00
46.52,46.10,46.99,46.06
46.34,45.85,46.70,45.85
45.97,46.28,46.42,45.83
46.17,46.51,47.23,46.17
46.50,46.73,47.06,46.00
46.38,44.61,46.47,44.47
44.67,44.50,45.00,43.24
44.24,44.25,44.82,43.86
44.64,45.46,45.92,44.38
45.22,45.60,46.00,45.06
45.52,46.24,46.40,45.36
46.11,45.70,46.25,45.09
46.06,46.60,46.68,45.55
46.60,46.93,47.90,46.60
46.99,47.38,47.45,46.74
47.45,47.60,47.92,47.10
47.80,47.34,47.80,47.22
47.19,46.85,47.54,46.79
47.24,47.60,47.74,46.89
47.33,47.52,47.85,46.94
47.68,47.32,47.93,47.30
47.61,48.94,49.14,47.35
49.13,49.65,49.84,49.09
49.59,49.36,49.78,49.14
49.31,49.80,50.00,49.26
49.85,50.54,50.91,49.85
50.67,51.15,51.66,50.66
51.20,51.74,51.88,51.14
49.06,50.10,50.59,47.44
50.07,50.00,50.63,49.50
50.31,49.64,50.44,49.50
49.74,49.57,49.88,49.41
49.48,48.87,49.62,48.50
48.75,49.79,49.92,48.75
49.87,49.75,50.10,49.62
48.88,48.88,50.00,48.73
48.72,51.35,51.43,48.55
51.70,52.63,52.66,51.50
52.87,52.65,53.00,52.51
53.00,52.57,53.10,52.45
52.84,52.30,53.13,52.12
52.64,52.70,53.47,52.41
53.00,53.28,53.65,53.00
53.32,52.26,53.48,52.25
52.41,52.52,53.64,52.33
52.82,53.50,53.82,52.79
53.50,53.33,53.52,52.76
53.45,53.00,53.45,52.59
53.00,53.22,53.36,52.60
53.24,53.37,53.57,52.75
