ULBI,Ultralife Corporation - Common Stock,NASDAQ
4.35,4.48,4.54,4.32
4.47,4.41,4.54,4.38
4.40,4.28,4.48,4.25
4.30,4.41,4.46,4.30
4.35,4.47,4.56,4.35
4.51,4.81,4.95,4.50
4.80,4.59,4.90,4.50
4.62,4.77,4.93,4.55
4.78,5.20,5.48,4.78
5.15,5.35,5.50,5.05
5.40,5.02,5.42,4.90
5.08,5.07,5.18,4.72
5.25,4.85,5.25,4.78
4.86,4.68,4.93,4.66
4.52,4.57,4.80,4.42
4.57,4.25,4.57,4.23
4.22,4.12,4.35,3.83
4.12,3.89,4.12,3.88
3.90,3.84,4.05,3.75
3.87,4.07,4.17,3.70
4.09,4.10,4.13,4.00
4.07,3.94,4.08,3.83
3.90,3.83,3.94,3.78
3.87,3.85,3.91,3.72
3.86,3.90,4.01,3.86
3.96,4.03,4.08,3.90
4.03,3.99,4.09,3.99
3.99,4.02,4.19,3.62
3.95,3.91,4.04,3.86
3.96,4.06,4.21,3.96
4.08,4.17,4.19,3.88
4.33,4.15,4.46,3.97
4.12,4.04,4.12,3.93
4.27,4.04,4.27,3.98
4.02,3.95,4.16,3.88
3.96,3.98,4.09,3.95
3.94,3.99,4.02,3.91
4.00,4.08,4.11,3.94
4.09,4.05,4.16,3.97
4.07,4.12,4.15,3.98
4.14,4.22,4.22,4.11
4.21,4.34,4.42,4.21
4.38,4.44,4.48,4.35
4.45,4.42,4.47,4.35
4.39,4.36,4.39,4.22
4.35,4.47,4.50,4.34
4.46,4.42,4.49,4.37
4.43,4.36,4.43,4.27
4.35,4.36,4.38,4.25
4.39,4.40,4.40,4.31
4.43,4.38,4.46,4.37
4.35,4.31,4.39,4.28
4.34,4.16,4.35,4.15
4.14,4.15,4.17,4.06
4.16,4.26,4.32,4.16
4.26,4.18,4.30,4.16
4.22,4.12,4.23,4.10
4.15,4.15,4.18,4.03
4.15,4.11,4.16,4.06
4.11,3.97,4.13,3.90
3.96,4.01,4.11,3.96
4.01,4.05,4.08,4.00
4.07,4.17,4.17,4.00
4.08,4.13,4.20,4.07
4.09,4.09,4.16,4.08
4.10,4.09,4.17,4.08
4.09,4.17,4.19,4.04
4.17,4.39,4.40,4.13
4.35,4.36,4.40,4.19
4.37,4.39,4.40,4.22
4.34,4.32,4.41,4.28
4.32,4.19,4.37,4.08
4.19,4.18,4.25,4.15
4.19,4.42,4.42,4.19
4.40,4.38,4.45,4.25
4.35,4.36,4.45,4.14
4.37,4.42,4.43,4.19
4.39,4.41,4.50,4.37
4.41,4.39,4.49,4.34
4.39,4.47,4.49,4.39
4.40,4.36,4.42,4.20
4.35,4.19,4.35,4.18
4.22,4.20,4.22,4.07
4.20,4.21,4.22,4.11
4.14,4.16,4.20,4.07
4.15,4.08,4.18,4.00
