MTD,Mettler-Toledo International,NASDAQ
105.48,105.64,106.21,104.83
104.73,103.00,104.73,101.31
102.65,102.21,104.27,101.52
102.00,100.44,102.55,100.36
99.90,102.14,102.30,99.54
102.10,103.05,103.35,101.84
102.88,101.59,103.12,101.15
101.38,102.97,103.57,101.04
103.20,103.82,104.53,103.01
104.05,101.09,104.34,100.97
100.72,101.70,102.03,100.55
101.20,100.82,101.64,99.91
101.46,100.17,102.13,99.69
100.48,98.78,101.06,98.70
99.06,99.09,99.59,98.59
98.71,98.97,100.07,98.00
98.69,98.23,98.75,97.00
98.00,97.34,99.39,97.34
97.35,97.47,99.00,97.27
97.64,97.68,98.46,97.06
97.97,98.10,98.95,97.26
97.52,100.24,100.30,97.52
99.44,96.29,99.94,96.14
96.01,96.94,98.45,93.95
96.35,94.46,96.98,94.46
95.49,95.59,96.18,95.26
95.25,94.10,95.67,93.99
93.74,94.85,95.03,93.65
93.95,94.33,94.67,93.43
94.80,95.76,95.77,94.22
95.81,96.24,96.45,95.70
96.31,96.00,96.54,95.84
95.63,97.43,97.51,95.09
98.31,98.36,98.43,97.44
98.45,98.36,98.67,97.80
98.21,98.55,99.35,98.00
98.01,98.79,98.92,97.11
98.41,99.41,99.74,98.41
99.86,102.62,102.98,99.43
102.67,103.61,103.84,102.32
103.87,103.94,104.63,103.36
104.18,103.37,104.38,101.65
104.21,105.50,105.60,104.00
105.03,105.29,105.76,104.81
105.29,105.00,105.50,104.48
104.62,105.62,106.06,104.58
105.69,105.30,106.18,104.63
105.50,106.09,106.10,104.88
106.09,107.17,107.36,105.77
107.23,109.14,109.24,107.23
109.24,108.81,109.75,108.56
109.05,108.22,109.22,107.85
107.20,107.20,108.25,107.02
107.07,108.60,108.77,106.43
108.96,109.77,109.98,108.41
108.78,108.36,109.34,108.25
109.15,109.42,110.75,108.65
109.62,109.39,110.00,108.87
109.01,109.06,111.45,108.93
109.44,110.31,111.07,108.94
110.31,109.20,110.78,109.20
109.86,110.26,110.99,109.65
110.33,111.19,111.37,110.30
110.39,112.58,112.75,109.91
112.66,112.27,112.87,111.33
112.22,112.32,112.54,110.56
112.33,113.48,113.48,111.95
113.49,114.22,114.49,113.34
114.16,115.26,115.47,113.84
115.49,116.68,116.99,115.42
116.23,116.58,117.75,116.23
116.60,117.29,117.73,115.66
