TIP,iShares TIPS Bond ETF,NASDAQ
103.99,104.17,104.20,103.78
104.37,104.51,104.60,104.29
104.54,104.24,104.54,104.05
104.27,104.40,104.56,104.25
104.81,104.62,104.82,104.40
104.62,104.39,104.77,104.34
104.78,104.87,105.06,104.76
104.67,104.40,104.81,104.30
104.63,104.67,104.87,104.52
105.02,105.01,105.16,104.90
104.92,104.93,105.00,104.77
105.15,105.09,105.29,104.96
105.04,105.29,105.40,104.99
105.12,105.19,105.22,104.87
105.03,104.92,105.19,104.92
105.22,105.24,105.24,104.94
105.37,104.96,105.47,104.88
104.74,105.10,105.17,104.74
105.07,105.49,105.50,104.99
105.16,105.24,105.31,104.90
105.35,105.43,105.47,105.27
105.18,105.00,105.21,104.99
105.11,105.28,105.35,105.05
105.26,105.09,105.40,104.94
104.95,104.93,105.09,104.84
104.82,104.57,105.01,104.55
104.74,104.26,104.80,104.04
104.22,104.01,104.24,103.85
104.23,104.01,104.28,104.01
103.90,104.31,104.41,103.87
104.18,104.11,104.47,103.90
104.20,104.02,104.22,103.75
103.64,103.84,103.86,103.41
103.78,103.58,103.82,103.49
103.65,103.90,104.00,103.63
103.97,103.70,104.09,103.55
103.91,103.70,103.92,103.54
103.73,103.91,104.04,103.73
103.99,103.92,104.02,103.82
103.83,104.00,104.06,103.76
103.93,103.96,104.09,103.77
103.98,104.07,104.27,103.92
104.00,103.84,104.04,103.65
103.79,103.75,103.83,103.71
104.00,103.93,104.00,103.74
103.79,103.82,103.90,103.70
103.80,103.94,103.97,103.68
104.02,104.21,104.33,103.95
104.21,104.19,104.26,104.00
104.25,104.58,104.64,104.22
104.57,104.80,104.83,104.53
104.59,104.38,104.72,104.38
104.18,104.18,104.56,104.18
104.33,104.42,104.43,104.32
104.36,104.34,104.49,104.28
103.81,103.50,103.92,103.23
103.41,103.36,103.55,103.07
103.29,103.49,103.63,103.29
103.48,103.36,103.55,103.16
103.21,103.45,103.45,103.11
103.53,103.90,103.91,103.39
