DUG,ProShares UltraShort Oil & Gas,NASDAQ
49.44,47.88,49.48,47.88
47.92,47.12,48.24,47.04
47.28,46.08,47.44,45.84
46.44,46.28,47.12,46.11
46.80,45.68,46.92,45.68
44.88,45.68,46.38,44.88
46.92,47.08,47.48,46.54
47.12,46.80,48.68,46.44
46.92,46.48,47.08,46.24
46.72,47.24,47.80,46.40
47.36,46.44,47.72,46.40
47.40,47.92,48.60,47.40
48.00,49.76,49.96,47.56
50.24,52.00,52.20,49.64
51.20,51.36,51.68,50.36
52.08,52.04,52.72,50.44
52.32,52.56,53.96,51.44
51.76,53.76,54.84,51.56
53.00,55.32,55.80,51.80
54.00,51.92,54.12,51.80
51.20,50.40,52.12,50.24
50.76,51.20,51.58,50.00
52.16,55.36,55.40,52.08
55.32,55.44,58.48,54.92
55.36,56.24,56.24,54.00
54.64,54.04,55.28,52.72
54.36,54.56,56.16,53.96
54.56,52.76,55.20,52.64
54.12,52.92,54.72,52.92
51.52,50.64,51.84,50.24
50.36,50.72,51.32,50.12
51.00,50.20,51.28,49.92
50.60,49.88,50.92,49.56
49.52,51.20,51.48,49.52
51.76,52.76,53.24,51.48
52.80,52.24,53.24,51.88
53.76,52.36,54.56,52.31
52.04,52.24,53.00,51.80
51.60,51.20,51.80,51.00
50.68,50.48,50.88,49.76
50.00,50.16,50.24,49.24
50.00,50.64,50.96,49.65
49.64,48.84,49.80,48.68
48.56,48.92,49.32,48.32
49.36,48.72,49.44,48.24
48.72,48.04,49.08,47.88
48.24,48.16,48.56,48.00
47.60,48.12,48.48,47.56
48.48,48.96,49.92,48.44
48.52,48.04,49.20,48.00
47.68,47.16,47.76,46.60
47.24,48.48,49.00,47.04
48.28,49.60,50.44,48.20
50.80,49.80,51.16,49.48
49.80,49.40,50.24,49.32
50.24,50.04,50.28,49.24
49.44,51.60,51.72,49.16
51.32,51.48,52.16,50.88
50.84,49.56,50.88,49.44
49.44,49.44,50.00,49.28
49.16,49.00,49.68,48.52
48.12,47.25,48.20,47.10
46.60,45.60,47.00,45.48
45.80,45.56,46.00,45.28
45.80,46.40,46.92,45.68
47.16,45.96,47.52,45.73
45.40,45.04,45.60,44.92
45.00,44.88,45.12,44.32
45.04,45.20,46.04,44.80
44.68,44.24,45.40,44.24
221.08,220.64,222.44,219.40
223.40,227.28,230.12,220.88
231.48,227.16,232.36,226.72
224.16,217.68,224.60,216.44
217.20,219.12,221.80,215.64
222.32,218.08,225.08,217.56
218.04,208.44,218.24,208.32
207.88,209.56,210.20,206.84
211.28,221.32,222.32,208.88
217.76,217.12,222.60,215.60
214.68,216.68,219.24,211.76
216.24,221.84,224.64,215.64
220.56,217.40,225.16,213.80
221.96,228.32,232.52,221.96
236.00,235.20,238.56,229.12
239.20,252.44,280.00,234.04
253.84,261.04,266.96,247.00
240.88,240.96,248.48,237.96
246.68,242.92,246.68,236.24
240.88,236.48,241.44,235.12
237.12,240.28,241.60,233.88
243.84,249.00,255.96,242.64
249.00,253.96,263.72,246.00
246.28,258.00,260.56,243.20
259.92,263.16,271.48,256.60
273.84,286.68,287.28,273.48
294.92,276.94,298.48,275.88
278.20,289.76,290.36,276.40
305.16,289.04,308.60,288.56
282.84,290.12,291.88,277.20
275.20,265.44,277.52,265.16
nan,276.32,nan,nan
284.84,300.04,300.76,279.60
295.72,275.36,297.32,274.92
270.08,267.64,280.60,266.56
277.76,285.28,289.28,267.60
282.72,290.84,291.20,276.88
288.44,281.80,295.28,279.72
275.72,287.96,290.56,267.60
273.96,260.16,274.00,259.32
264.20,256.84,266.16,256.84
250.80,259.28,260.00,247.88
253.00,245.52,255.84,244.52
248.68,245.32,250.60,242.28
244.88,244.96,250.36,243.92
244.40,241.52,248.16,241.00
235.12,243.08,246.72,232.67
243.04,257.03,258.40,243.04
257.16,262.20,264.52,257.16
265.00,273.32,275.28,261.80
272.00,272.16,279.08,267.76
272.08,279.56,279.72,270.64
286.40,296.96,300.20,286.04
295.72,301.40,302.00,289.00
300.12,302.96,313.08,296.20
nan,304.08,nan,nan
293.84,298.26,304.89,288.00
296.00,278.28,297.12,277.80
271.96,270.80,280.40,269.44
272.04,268.24,273.36,267.68
271.24,269.32,274.56,266.24
262.40,263.40,265.76,260.20
264.72,263.92,268.96,260.84
264.40,263.36,272.28,261.76
267.80,277.52,279.56,266.60
275.60,273.44,278.76,270.16
281.08,262.12,281.24,260.80
259.20,269.59,273.90,259.20
262.76,258.40,264.19,254.08
259.40,256.44,265.08,256.28
256.44,251.12,257.32,250.72
248.08,253.00,256.84,248.00
253.44,254.00,255.60,250.88
251.24,253.68,258.32,245.72
259.92,255.24,259.92,252.88
246.24,237.44,246.96,236.12
239.52,236.44,241.44,234.16
236.20,233.36,237.48,232.28
236.44,232.44,238.08,232.44
