SMIT,Schmitt Industries,NASDAQ
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.49,3.54,3.54,3.49
3.54,3.54,3.54,3.54
3.38,3.38,3.38,3.38
3.38,3.38,3.38,3.38
3.38,3.38,3.38,3.38
3.31,3.54,3.54,3.31
3.45,3.45,3.45,3.45
3.45,3.54,3.54,3.45
3.50,3.49,3.50,3.49
3.50,3.53,3.53,3.50
3.54,3.55,3.55,3.54
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.38,3.38,3.38,3.38
3.52,3.52,3.52,3.52
3.49,3.50,3.50,3.49
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.38,3.45,3.45,3.38
3.45,3.45,3.45,3.45
3.45,3.55,3.55,3.38
3.59,4.00,4.00,3.59
3.75,3.90,3.90,3.75
3.90,3.90,3.90,3.90
3.50,3.49,3.61,3.46
3.98,3.75,3.98,3.75
3.75,3.75,3.75,3.75
3.51,3.71,3.71,3.51
3.53,3.55,3.55,3.51
3.53,3.52,3.56,3.50
3.53,3.69,3.69,3.51
3.49,3.60,3.70,3.47
3.60,3.60,3.60,3.60
3.52,3.50,3.65,3.47
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.55,3.54,3.55,3.54
3.53,3.55,3.55,3.53
3.55,3.55,3.55,3.55
3.51,3.51,3.51,3.51
3.51,3.51,3.51,3.51
3.53,3.66,3.66,3.53
3.53,3.53,3.53,3.53
3.53,3.53,3.53,3.53
3.54,3.62,3.62,3.47
3.60,3.80,3.80,3.56
3.83,3.82,4.00,3.80
3.98,4.00,4.05,3.98
4.00,4.00,4.00,4.00
3.91,3.91,3.91,3.91
4.09,4.00,4.10,4.00
4.00,4.00,4.00,3.95
4.00,3.92,4.00,3.90
3.90,3.90,3.90,3.89
3.85,3.85,3.85,3.85
3.91,4.00,4.00,3.91
3.90,3.90,3.90,3.80
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.80,3.80,3.80,3.80
3.89,3.80,3.89,3.80
3.80,3.80,3.80,3.80
3.65,3.90,3.90,3.65
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.72,3.84,3.85,3.30
3.68,3.50,3.68,3.50
3.55,3.47,3.55,3.47
3.47,3.47,3.47,3.47
3.88,4.08,4.08,3.87
3.50,3.80,4.00,3.50
3.48,3.69,3.99,3.48
3.62,3.56,3.62,3.48
3.55,3.47,3.76,3.47
3.52,3.84,3.97,3.47
3.80,3.88,3.88,3.62
3.88,3.88,3.88,3.88
3.88,3.88,3.88,3.88
3.88,3.88,3.88,3.88
4.20,4.00,4.20,3.59
4.00,4.00,4.00,4.00
3.52,4.05,4.05,3.52
3.75,3.52,4.06,3.50
3.86,3.58,3.86,3.58
3.58,3.58,3.58,3.58
3.58,3.58,3.58,3.58
3.62,3.65,3.65,3.62
4.08,3.57,4.08,3.45
3.57,3.57,3.57,3.57
3.57,3.57,3.57,3.57
3.57,3.57,3.57,3.56
3.40,3.46,3.93,3.40
3.46,3.46,3.46,3.46
3.46,3.46,3.46,3.46
3.47,3.49,3.70,3.47
3.43,3.41,3.50,3.40
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.43,3.31,3.43,3.31
3.31,3.31,3.31,3.31
3.31,3.31,3.31,3.31
3.31,3.31,3.31,3.31
3.30,3.50,3.50,3.30
3.32,3.56,3.89,3.32
3.56,3.56,3.56,3.56
3.56,3.56,3.56,3.56
3.56,3.56,3.56,3.56
3.56,3.56,3.56,3.56
3.39,3.41,3.41,3.38
3.41,3.41,3.41,3.41
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.28,3.28,3.28,3.28
3.29,3.27,3.29,3.27
3.27,3.27,3.27,3.27
3.27,3.27,3.27,3.27
3.27,3.27,3.27,3.27
3.19,3.14,3.35,3.14
3.19,3.51,3.53,3.15
3.25,3.25,3.66,3.25
3.25,3.25,3.25,3.25
3.48,3.16,3.48,3.16
3.58,3.15,3.58,3.15
3.14,3.05,3.15,3.05
3.05,3.05,3.05,3.05
3.05,3.05,3.05,3.05
3.05,3.00,3.05,3.00
3.03,3.01,3.03,3.01
3.01,3.01,3.01,3.01
3.01,3.01,3.01,3.01
3.01,3.01,3.01,3.01
3.01,3.01,3.01,3.01
3.01,3.01,3.01,3.01
3.01,3.01,3.01,3.00
3.01,2.98,3.01,2.98
2.98,2.98,2.98,2.98
2.98,2.98,2.98,2.98
2.98,2.98,2.98,2.98
2.99,2.99,2.99,2.99
2.99,2.99,2.99,2.99
2.99,2.99,2.99,2.99
2.99,3.00,3.00,2.99
2.78,2.75,2.80,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.73,2.75,2.73
2.84,2.84,2.84,2.84
2.84,2.84,2.84,2.84
2.75,2.80,2.80,2.75
2.80,2.80,2.80,2.80
2.73,2.22,2.83,2.22
2.32,2.42,2.42,2.26
2.42,2.45,2.46,2.40
2.45,2.45,2.45,2.45
2.41,2.40,2.46,2.35
2.46,2.41,2.47,2.40
2.41,2.48,2.48,2.41
2.49,2.51,2.51,2.49
2.40,2.51,2.51,2.40
2.40,2.49,2.49,2.40
2.49,2.54,2.54,2.49
2.54,2.58,2.58,2.42
2.46,2.60,2.60,2.40
2.42,2.55,2.60,2.42
2.55,2.60,2.60,2.54
2.55,2.35,2.55,2.35
2.53,2.65,2.74,2.53
2.62,2.80,2.89,2.55
2.85,2.86,2.86,2.85
2.86,2.86,2.86,2.86
2.90,2.78,2.90,2.73
2.72,2.96,2.96,2.72
2.70,2.69,2.70,2.69
2.67,2.60,2.75,2.60
2.60,2.60,2.60,2.60
2.64,2.64,2.64,2.64
2.90,2.86,2.93,2.76
3.01,3.01,3.01,3.01
2.90,2.91,2.91,2.90
2.90,2.95,2.95,2.76
3.00,2.81,3.00,2.81
2.63,2.75,2.76,2.63
2.98,2.83,2.99,2.78
2.80,2.80,2.80,2.80
2.85,2.85,2.87,2.85
2.95,2.99,3.00,2.95
2.99,2.99,2.99,2.99
2.98,3.00,3.00,2.95
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
2.95,2.95,2.95,2.95
2.95,2.95,2.95,2.95
2.98,3.01,3.01,2.97
3.01,3.01,3.01,3.01
2.95,2.99,2.99,2.95
2.95,2.96,2.96,2.95
2.96,2.96,2.96,2.96
2.96,2.96,2.96,2.96
3.00,3.00,3.00,2.98
2.90,2.78,2.90,2.78
2.80,2.81,2.81,2.80
2.82,2.80,2.82,2.80
2.80,2.80,2.80,2.80
2.80,2.80,2.80,2.80
2.80,2.80,2.80,2.80
