VOX,Vanguard Telecom ETF - DNQ,NASDAQ
57.09,57.72,57.72,57.09
57.85,58.11,58.35,57.55
58.10,57.19,58.11,57.10
57.15,56.98,57.36,56.83
56.53,56.72,56.72,56.47
56.83,56.77,56.97,56.56
56.52,56.06,56.52,55.94
56.36,56.32,56.36,55.89
56.17,55.85,56.59,55.85
55.95,55.15,55.95,54.81
55.39,55.70,55.76,55.11
55.38,54.86,55.38,54.69
54.93,54.18,55.02,53.95
54.29,53.28,54.49,53.18
53.79,53.77,53.97,53.38
53.49,53.03,53.49,52.61
52.84,53.13,53.18,52.50
53.00,52.48,53.00,52.22
52.53,52.13,53.01,52.13
52.42,52.59,52.59,52.09
52.69,53.14,53.17,52.49
52.91,52.73,52.91,52.51
52.33,51.11,52.33,51.11
51.13,51.05,51.13,50.36
51.14,51.00,51.52,51.00
51.54,51.63,51.83,51.25
51.40,51.40,51.55,51.01
51.30,51.97,52.08,51.09
51.71,52.06,52.06,51.56
52.69,52.73,52.75,52.46
52.97,53.11,53.13,52.87
53.08,53.38,53.44,53.07
53.28,53.52,53.76,53.22
53.67,53.48,53.73,53.43
53.48,52.81,53.48,52.64
52.86,52.75,52.92,52.62
52.16,52.66,52.70,52.12
52.73,52.75,52.78,52.44
52.81,53.09,53.16,52.81
53.28,53.35,53.42,53.14
53.53,53.37,53.64,53.25
53.49,53.53,53.56,53.23
53.89,53.77,53.89,53.43
53.80,54.18,54.34,53.78
54.05,54.80,55.05,54.05
54.79,54.83,55.21,54.59
54.70,55.16,55.17,54.70
55.30,54.96,55.30,54.89
55.07,55.06,55.10,54.81
55.07,55.35,55.36,54.51
55.32,55.74,55.87,55.32
55.81,55.97,56.06,55.77
55.76,55.76,56.20,55.68
55.36,56.36,56.47,55.36
56.47,56.94,56.96,56.41
56.94,56.38,56.94,56.36
56.90,55.69,56.90,55.67
55.78,55.77,56.00,55.60
56.09,56.14,56.25,56.02
56.37,56.38,56.59,56.25
56.22,56.21,56.58,56.13
56.41,56.66,56.85,56.41
56.99,57.21,57.21,56.84
57.05,56.93,57.05,56.78
56.96,56.32,56.96,56.05
56.34,56.72,56.78,56.10
56.71,56.98,57.01,56.71
57.07,56.98,57.35,56.98
57.01,56.96,57.01,56.59
56.99,57.12,57.14,56.74
56.98,57.11,57.21,56.92
57.02,56.68,57.08,56.39
56.61,56.79,56.84,56.37
56.98,57.24,57.33,56.81
57.27,56.83,57.35,56.68
56.27,56.90,56.93,56.16
56.83,56.96,56.96,56.50
56.89,56.83,57.07,56.82
56.55,56.19,56.89,56.10
56.37,56.51,56.58,56.09
56.96,57.11,57.22,56.89
57.23,56.66,57.39,56.66
56.86,57.17,57.27,56.75
56.79,55.81,56.79,55.58
55.74,55.64,55.94,55.41
55.46,54.31,55.65,30.00
53.77,53.19,54.28,52.52
55.46,54.70,55.46,54.17
54.07,54.84,55.39,54.07
55.18,55.93,55.98,55.13
55.96,56.06,56.47,55.93
55.72,55.38,55.77,54.99
55.58,55.88,55.92,54.94
56.30,55.53,56.46,55.30
55.21,55.17,55.50,54.69
54.45,53.28,54.45,53.23
52.42,53.59,53.59,52.11
53.67,53.34,54.01,53.24
52.39,53.52,53.52,51.85
53.75,53.04,53.85,52.99
53.85,54.61,54.62,53.49
54.65,54.14,54.71,54.00
53.87,53.11,54.43,53.11
53.34,54.50,54.50,53.34
