ESNC,EnSync,NASDAQ
1.19,1.20,1.20,1.15
1.27,1.22,1.27,1.17
1.24,1.25,1.25,1.22
1.28,1.33,1.33,1.26
1.35,1.54,2.00,1.31
1.54,1.36,1.60,1.35
1.45,1.39,1.46,1.37
1.46,1.40,1.67,1.40
1.42,1.32,1.42,1.32
1.65,1.44,1.55,1.34
1.48,1.34,1.50,1.33
1.36,1.32,1.36,1.25
1.32,1.35,1.38,1.28
1.38,1.32,1.38,1.31
1.37,1.27,1.37,1.27
1.27,1.20,1.27,1.20
1.20,1.20,1.23,1.18
1.24,1.16,1.26,1.15
1.20,1.19,1.24,1.18
1.50,1.37,1.55,1.30
1.36,1.27,1.37,1.26
1.26,1.28,1.33,1.26
1.32,1.30,1.36,1.27
1.25,1.25,1.30,1.24
1.25,1.22,1.26,1.21
1.29,1.22,1.29,1.21
1.22,1.18,1.25,1.18
1.19,1.18,1.20,1.18
1.19,1.15,1.21,1.10
1.16,1.19,1.21,1.16
1.17,1.17,1.20,1.13
1.15,1.15,1.17,1.12
1.16,1.12,1.16,1.12
1.14,1.13,1.14,1.09
1.16,1.12,1.16,1.12
1.11,1.15,1.15,1.11
1.13,1.14,1.14,1.11
1.09,1.15,1.15,1.09
1.14,1.09,1.17,1.06
1.10,1.03,1.10,0.98
1.05,1.02,1.05,1.01
1.03,1.02,1.04,1.01
1.00,1.04,1.04,1.00
1.04,1.01,1.04,0.99
0.96,0.93,0.98,0.88
0.98,0.91,0.98,0.91
0.91,0.91,0.93,0.90
0.93,0.94,0.95,0.91
0.99,0.93,0.99,0.92
0.92,0.92,0.96,0.92
0.93,0.91,0.95,0.90
0.94,0.88,0.94,0.88
0.89,0.83,0.90,0.82
0.83,0.83,0.85,0.83
0.88,0.83,0.88,0.83
0.88,0.82,0.89,0.82
0.87,0.80,0.88,0.80
0.86,0.82,0.86,0.80
0.84,0.82,0.87,0.82
0.82,0.81,0.84,0.80
0.80,0.80,0.82,0.78
0.84,0.77,0.84,0.73
0.80,0.77,0.80,0.77
0.77,0.79,0.80,0.77
0.80,0.78,0.80,0.75
0.85,0.79,0.86,0.77
0.80,0.77,0.81,0.77
0.77,0.70,0.78,0.70
0.72,0.71,0.75,0.71
0.73,0.77,0.80,0.72
0.79,0.81,0.85,0.76
0.80,0.81,0.81,0.79
0.84,0.79,0.84,0.79
0.79,0.75,0.79,0.73
0.75,0.77,0.80,0.75
0.81,0.78,0.81,0.78
0.79,0.75,0.79,0.75
0.75,0.75,0.77,0.75
0.75,0.72,0.75,0.72
0.72,0.72,0.75,0.70
0.74,0.75,0.77,0.74
0.76,0.78,0.79,0.76
0.79,0.74,0.79,0.74
0.80,0.72,0.80,0.71
0.73,0.74,0.76,0.72
0.73,0.63,0.78,0.52
0.63,0.59,0.66,0.57
0.61,0.60,0.65,0.60
0.60,0.60,0.62,0.59
0.61,0.63,0.67,0.60
0.65,0.62,0.68,0.60
0.60,0.60,0.62,0.60
0.60,0.58,0.62,0.58
0.56,0.42,0.56,0.38
0.40,0.28,0.41,0.20
0.27,0.32,0.35,0.27
0.36,0.50,0.58,0.35
0.43,0.38,0.55,0.38
0.43,0.51,0.52,0.40
0.50,0.53,0.55,0.50
