VTNR,Vertex Energy,NASDAQ
0.45,0.55,0.55,0.45
0.45,0.60,0.60,0.45
1.01,0.75,1.25,0.48
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
1.24,1.17,1.24,0.59
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
0.80,1.23,1.23,0.80
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
0.72,1.10,1.10,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,1.07,1.07,0.72
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.04,1.04,1.04,1.04
1.04,1.04,1.04,1.04
0.75,0.77,0.77,0.75
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.81,0.81,0.78
0.81,0.81,0.81,0.81
0.81,0.80,0.81,0.80
1.00,1.00,1.00,1.00
0.65,0.99,1.00,0.65
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.52,0.52,0.52,0.52
1.00,0.98,1.01,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.56,0.98,0.56
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.50,0.92,0.92,0.50
0.92,0.92,0.92,0.92
0.51,0.92,0.92,0.51
0.92,0.91,0.92,0.51
0.91,0.91,0.91,0.91
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.52,0.92,0.92,0.52
0.52,0.92,0.92,0.52
0.92,0.92,0.92,0.92
0.57,0.92,0.92,0.57
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.52,0.92,0.92,0.52
0.92,0.92,0.92,0.92
0.57,0.85,0.85,0.57
0.59,0.85,0.85,0.59
0.59,0.85,0.85,0.59
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.59,0.85,0.85,0.59
0.59,0.59,0.59,0.59
0.85,0.85,0.85,0.85
0.82,0.92,0.92,0.82
0.92,0.92,0.92,0.92
0.92,0.95,0.95,0.92
0.95,0.95,0.95,0.95
0.82,0.95,0.95,0.82
0.95,0.95,0.95,0.70
0.85,0.85,0.85,0.55
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.32,0.32,0.32,0.32
0.85,0.90,0.90,0.85
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.98,0.98,0.98,0.98
0.85,0.90,0.90,0.85
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.80,0.98,0.98,0.80
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.90,0.55,0.90,0.55
0.55,0.55,0.55,0.55
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.55
0.55,0.85,0.85,0.55
0.55,0.85,0.85,0.55
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.32,0.90,0.90,0.32
0.32,0.90,0.90,0.32
0.55,0.90,0.90,0.55
0.90,0.90,0.90,0.90
0.55,0.89,0.89,0.55
0.70,0.90,0.90,0.70
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.40,0.90,0.90,0.40
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.40,0.80,0.90,0.40
0.40,0.80,0.80,0.40
0.80,0.80,0.80,0.80
0.41,0.80,0.80,0.41
0.46,0.75,0.75,0.46
0.46,0.75,0.75,0.46
0.75,0.75,0.75,0.40
0.75,0.75,0.75,0.75
0.40,0.75,0.75,0.40
0.75,0.75,0.75,0.75
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.96,0.70
0.70,0.70,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.52,0.70,0.70,0.52
0.62,0.60,0.69,0.55
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.40,0.40,0.40,0.40
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.50,0.50,0.50,0.50
0.43,0.70,0.70,0.43
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.45,0.70,0.70,0.45
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.62,0.70,0.70,0.62
0.70,0.70,0.70,0.70
0.50,0.50,0.50,0.50
0.53,0.55,0.55,0.53
0.55,0.55,0.55,0.55
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.55,0.60,0.55
0.60,0.60,0.60,0.60
0.55,0.55,0.55,0.55
0.55,0.60,0.60,0.55
0.60,0.60,0.60,0.60
0.60,0.55,0.62,0.55
0.55,0.55,0.55,0.55
0.56,0.56,0.56,0.56
0.56,0.60,0.60,0.56
0.56,0.55,0.56,0.55
0.55,0.60,0.60,0.55
0.64,0.60,0.64,0.60
0.56,0.60,0.60,0.55
0.55,0.55,0.55,0.55
0.60,0.60,0.60,0.60
0.51,0.65,0.90,0.51
0.65,0.80,0.90,0.65
0.70,0.75,0.75,0.65
0.65,0.75,0.75,0.65
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.61
0.61,0.61,0.61,0.61
0.62,0.61,0.62,0.61
0.55,0.60,0.60,0.55
0.75,0.75,0.75,0.75
0.60,0.74,0.74,0.56
0.70,0.74,0.74,0.70
0.75,0.70,0.75,0.70
0.75,0.78,0.78,0.73
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.74,0.74,0.74,0.74
0.56,0.58,0.58,0.56
0.58,0.65,0.65,0.58
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.78,0.59,0.78,0.59
0.59,0.59,0.59,0.59
0.78,0.78,0.78,0.78
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.78,0.78,0.78,0.78
0.57,0.57,0.57,0.57
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.58,0.51,0.59,0.51
0.51,0.51,0.51,0.45
0.51,0.51,0.51,0.51
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.51,0.51,0.51,0.51
0.52,0.68,0.68,0.43
0.47,0.65,0.65,0.47
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.47,0.47,0.47,0.47
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.47,0.47,0.47,0.47
0.46,0.36,0.64,0.36
0.60,0.60,0.60,0.60
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.60,0.60,0.60,0.60
0.40,0.40,0.40,0.40
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.55,0.66,0.66,0.54
0.64,0.53,0.68,0.53
0.53,0.53,0.53,0.53
0.53,0.55,0.55,0.53
0.68,0.68,0.68,0.68
0.53,0.65,0.65,0.50
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.51,0.65,0.65,0.51
0.65,0.52,0.65,0.52
0.50,0.50,0.50,0.50
0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63
0.51,0.50,0.51,0.50
0.60,0.52,0.60,0.52
0.52,0.52,0.52,0.52
0.67,0.51,0.67,0.51
0.59,0.63,0.63,0.59
0.60,0.60,0.60,0.60
0.59,0.60,0.60,0.59
0.65,0.67,0.71,0.65
0.70,0.67,0.70,0.67
0.67,0.58,0.67,0.58
0.58,0.58,0.58,0.58
0.55,0.70,0.70,0.55
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.65,0.65,0.65,0.65
0.70,0.68,0.70,0.68
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.78,0.88,0.88,0.75
0.82,0.85,0.85,0.82
0.85,0.80,0.85,0.80
0.80,0.85,0.85,0.80
0.85,0.85,0.85,0.71
0.80,1.05,1.05,0.75
1.05,1.05,1.05,1.05
0.87,0.87,0.87,0.87
1.05,1.05,1.05,1.05
1.02,1.01,1.02,1.01
1.01,0.88,1.01,0.88
0.71,0.88,0.88,0.71
0.89,0.91,0.91,0.88
0.90,0.89,0.90,0.89
0.95,0.95,1.00,0.95
0.95,0.96,0.96,0.95
1.20,1.20,1.20,1.10
1.20,1.31,1.31,1.20
1.25,1.30,1.33,1.25
1.25,1.21,1.25,1.21
1.21,1.21,1.29,1.21
1.29,1.20,1.29,1.17
1.20,1.15,1.20,1.14
1.18,1.18,1.18,1.18
1.18,1.22,1.29,1.18
1.22,1.20,1.25,1.20
1.24,1.30,1.30,1.24
1.50,1.75,1.75,1.44
1.70,1.70,1.70,1.65
1.70,1.90,1.90,1.70
1.55,2.05,2.05,1.55
2.05,2.15,2.15,1.95
2.05,1.90,2.05,1.90
1.90,1.80,1.90,1.75
1.80,2.05,2.05,1.80
2.10,2.00,2.10,2.00
2.00,2.00,2.00,2.00
1.85,1.86,1.86,1.85
1.86,1.86,1.86,1.86
1.90,1.95,2.00,1.90
2.00,1.95,2.00,1.95
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
1.95,2.20,2.20,1.95
