PLPM,Planet Payment,NASDAQ
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.85,1.83,1.85,1.83
1.83,1.83,1.83,1.83
1.85,1.80,1.85,1.80
1.80,1.80,2.00,1.80
1.75,1.95,1.95,1.65
1.78,1.95,1.95,1.75
1.99,1.80,1.99,1.80
1.80,1.99,1.99,1.80
1.99,1.99,1.99,1.99
1.90,2.00,2.00,1.90
2.00,2.00,2.10,1.90
2.00,2.00,2.00,1.99
2.00,2.00,2.00,1.95
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.90,1.90,1.90,1.90
1.86,1.85,1.90,1.85
1.85,1.80,1.85,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.85,1.80,1.85,1.80
1.80,1.80,1.80,1.80
1.80,1.70,1.80,1.70
1.65,1.70,1.70,1.60
1.65,1.80,1.80,1.65
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.83,1.83,1.83,1.83
1.70,1.85,1.85,1.70
1.90,2.00,2.00,1.90
2.00,2.00,2.00,2.00
1.90,1.90,1.90,1.90
1.80,1.90,2.00,1.70
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.95,1.95,1.95,1.95
1.80,2.00,2.00,1.80
2.00,2.15,2.15,1.90
2.15,2.20,2.30,2.15
2.20,2.30,2.30,2.00
2.10,2.36,2.36,2.00
2.35,2.40,2.40,2.10
2.40,2.50,2.50,2.40
2.46,2.50,2.50,2.45
2.40,2.50,2.50,2.15
2.30,2.50,2.50,2.00
2.20,2.50,2.50,2.20
2.50,2.50,2.50,2.50
2.30,2.60,2.60,2.30
2.60,2.55,2.69,2.50
2.55,2.55,2.55,2.50
2.55,2.55,2.55,2.55
2.50,2.50,2.50,2.50
2.50,2.40,2.50,2.35
2.38,2.35,2.38,2.30
2.35,2.35,2.38,2.35
2.35,2.35,2.35,2.33
2.35,2.35,2.38,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.33,2.40,2.40,2.33
2.30,2.40,2.40,2.30
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.10,2.48,2.48,2.10
2.10,2.25,2.30,2.10
2.25,2.25,2.30,2.00
2.30,2.30,2.30,2.30
1.95,2.25,2.25,1.95
2.25,2.25,2.25,2.25
2.20,2.20,2.20,2.20
2.05,2.00,2.15,1.88
1.90,2.00,2.00,1.90
1.90,1.85,1.90,1.85
2.00,1.85,2.00,1.75
1.85,1.85,1.85,1.85
1.75,1.50,1.85,1.25
1.40,2.00,2.00,1.40
1.55,1.55,1.65,1.45
1.38,1.35,1.38,1.35
1.40,1.50,1.98,1.35
1.35,1.42,1.42,1.35
1.42,1.42,1.42,1.36
1.42,1.48,1.52,1.38
1.48,1.48,1.48,1.48
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.35,1.40,1.40,1.35
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.42,1.50,1.50,1.42
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.50,1.50,1.50,1.28
1.50,1.50,1.50,1.26
1.65,1.50,1.65,1.29
1.45,1.44,1.45,1.34
1.40,1.49,1.55,1.40
1.40,1.40,1.43,1.35
1.30,1.40,1.40,1.30
1.40,1.40,1.40,1.40
1.40,1.49,1.49,1.40
1.49,1.49,1.49,1.48
1.49,1.49,1.49,1.49
1.48,1.40,1.48,1.40
1.48,1.48,1.48,1.38
1.35,1.40,1.40,1.35
1.36,1.39,1.39,1.36
1.39,1.39,1.39,1.39
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.28,1.30,1.30,1.28
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.20,1.25,1.25,1.05
1.25,1.25,1.25,1.25
1.20,1.13,1.20,0.90
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
0.87,1.14,1.14,0.87
0.87,1.05,1.05,0.80
1.05,1.05,1.05,1.05
1.10,1.04,1.10,1.00
1.04,1.04,1.04,1.04
1.00,1.00,1.00,1.00
0.95,0.95,0.95,0.95
0.90,0.95,0.95,0.83
0.95,0.98,1.15,0.95
0.95,0.94,0.95,0.80
0.95,0.95,0.95,0.95
0.95,1.00,1.00,0.95
1.00,1.00,1.00,0.90
1.00,1.04,1.04,0.99
1.00,1.00,1.00,1.00
0.96,0.99,1.00,0.95
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.96,0.97,0.97,0.96
0.98,1.00,1.00,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.97,0.99,0.99,0.97
1.00,1.00,1.03,1.00
1.00,1.00,1.00,1.00
0.98,1.01,1.01,0.98
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.01,1.01,1.01,1.01
0.95,1.00,1.00,0.95
0.97,1.00,1.00,0.97
1.00,1.00,1.00,0.95
1.00,1.00,1.05,0.95
1.01,1.25,1.35,1.00
1.30,1.45,1.50,1.30
1.60,1.50,1.60,1.40
1.50,1.50,1.50,1.50
1.40,1.45,1.45,1.40
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.35
1.35,1.50,1.65,1.35
1.50,1.55,1.75,1.45
1.55,1.55,1.55,1.55
1.55,1.60,1.60,1.55
1.60,1.60,1.65,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.59,1.60,1.60,1.59
1.60,1.60,1.60,1.60
