FRBK,Republic First Bancorp,NASDAQ
4.36,4.54,4.56,4.34
4.53,4.76,4.76,4.53
4.73,4.66,4.75,4.58
4.62,4.85,4.88,4.40
4.83,4.94,4.95,4.83
4.97,4.92,5.00,4.85
4.88,4.81,4.90,4.75
4.80,4.92,4.99,4.77
4.86,4.81,4.87,4.76
4.85,4.75,4.90,4.75
4.75,5.12,5.12,4.66
5.08,5.05,5.30,5.00
5.07,4.66,5.07,4.66
4.67,4.55,4.67,4.50
4.59,4.59,4.67,4.53
4.50,4.51,4.56,4.50
4.48,4.50,4.54,4.44
4.52,4.35,4.65,4.32
4.35,4.37,4.51,4.32
4.40,4.61,4.63,4.32
4.90,4.50,4.90,4.46
4.46,4.40,4.46,4.30
4.39,4.16,4.49,4.16
4.28,4.15,4.28,4.12
4.15,3.92,4.16,3.91
3.95,4.05,4.06,3.92
4.02,3.98,4.06,3.94
3.95,4.10,4.15,3.95
4.02,4.11,4.18,4.02
4.12,4.24,4.24,4.12
4.27,4.32,4.39,4.25
4.30,4.38,4.38,4.30
4.37,4.34,4.40,4.30
4.35,4.27,4.47,4.25
4.25,4.24,4.32,4.22
4.21,4.26,4.35,4.21
4.18,4.25,4.26,4.16
4.25,4.16,4.25,3.99
4.16,4.20,4.20,4.09
4.22,4.25,4.32,4.16
4.28,4.24,4.28,4.13
4.09,4.23,4.35,4.05
4.23,4.40,4.40,4.17
4.40,4.34,4.43,4.22
4.28,4.41,4.45,4.28
4.39,4.19,4.40,4.10
4.10,4.20,4.21,3.87
4.19,4.24,4.35,4.12
4.18,4.40,4.50,4.08
4.02,3.22,4.02,2.98
3.37,3.32,3.44,3.23
3.31,3.28,3.36,3.20
3.28,3.32,3.44,3.18
3.34,3.51,3.51,3.18
3.51,3.50,3.52,3.37
3.49,3.44,3.55,3.40
3.55,3.61,3.70,3.50
3.60,3.76,3.80,3.60
3.77,4.03,4.10,3.72
4.02,4.10,4.23,4.01
4.14,3.87,4.24,3.87
3.90,3.83,4.11,3.80
3.96,4.08,4.08,3.91
4.07,4.21,4.35,4.07
4.18,4.25,4.33,4.09
4.25,4.16,4.28,4.14
4.01,4.10,4.25,4.01
4.11,3.91,4.12,3.91
3.98,3.93,4.15,3.91
3.96,4.00,4.00,3.96
3.99,3.80,3.99,3.70
3.80,3.72,3.87,3.70
3.70,3.91,3.91,3.70
4.00,3.83,4.00,3.73
3.83,3.96,3.96,3.83
3.93,3.94,4.00,3.82
3.92,3.93,3.99,3.91
3.70,4.10,4.49,3.61
4.09,4.10,4.18,4.09
4.14,4.14,4.19,4.13
4.15,3.95,4.15,3.80
3.95,3.73,3.95,3.73
3.81,3.59,4.09,3.46
3.51,3.42,3.54,3.35
3.31,3.26,3.47,3.25
3.25,3.58,3.84,3.25
3.64,3.29,3.64,3.29
3.72,3.38,3.76,3.20
3.26,3.46,3.58,3.25
3.49,3.66,3.68,3.38
3.58,3.61,3.66,3.42
3.50,3.40,3.50,3.28
3.43,3.28,3.50,3.27
3.29,3.12,3.46,3.01
3.13,3.15,3.35,3.10
3.11,3.03,3.35,3.02
3.02,3.03,3.04,3.00
3.04,3.00,3.18,3.00
3.00,3.07,3.18,2.90
3.16,3.24,3.30,2.93
3.30,3.13,3.30,3.04
3.02,2.97,3.04,2.96
2.93,2.83,2.94,2.80
2.75,2.70,2.90,2.51
2.68,2.61,2.74,2.60
2.57,2.56,2.67,2.55
2.56,2.15,2.56,2.15
2.11,2.10,2.15,2.05
2.12,2.22,2.29,2.10
2.26,2.25,2.34,2.20
2.24,2.45,2.46,2.21
2.47,2.40,2.50,2.33
2.39,2.38,2.46,2.27
2.35,2.37,2.48,2.34
2.36,2.41,2.41,2.32
2.43,2.38,2.47,2.24
2.41,2.02,2.42,2.02
1.98,1.80,2.00,1.80
1.87,1.87,1.95,1.82
1.91,1.86,1.91,1.82
1.75,1.82,1.94,1.75
1.85,1.95,1.98,1.85
2.09,1.96,2.09,1.90
1.94,1.95,1.98,1.90
1.90,1.87,1.98,1.82
1.89,1.86,1.90,1.85
1.94,1.93,1.99,1.90
1.99,1.94,2.01,1.92
2.00,2.05,2.18,1.90
2.04,2.21,2.24,2.03
2.24,2.35,2.41,2.22
2.44,2.31,2.44,2.22
2.36,2.19,2.38,2.19
2.23,2.21,2.27,2.10
2.19,2.17,2.30,2.11
2.17,2.14,2.22,2.12
2.16,2.14,2.21,2.12
2.12,2.06,2.20,2.06
2.11,1.99,2.15,1.98
